Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsContested,ReceptionsHero
Chris Brooks,GB,RB,9,No,No,No,7,5,No,Yes,4,0.8,0.7143,4,0.8,33,53,18,-22,,,-4.4,94.2,4.7143,6.6,1.2711,8.25,13.25,4.5,9.9457,9.9457,0.5556,3.3,7.3,5.3,9.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,,13,,,1,1,3,0.75,,,,,
Christian Watson,GB,WR,20,No,No,No,20,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.75,,,,,,,,,,
Dallin Holker,NO,TE,3,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,,,,,,,,,,
Tom Kennedy,DET,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,
Sincere McCormick,LV,RB,1,No,No,No,1,1,No,Yes,1,1,1,1,1,2,,,2,,,2,79.2,2,2,-4.3947,2,,,1.256,1.256,1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,4,,,1,,,,,,,,
K.J. Osborn,WAS,WR,7,No,No,Yes,7,,No,Yes,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5714,,,,,,,,,,
Tyler Conklin,NYJ,TE,43,Yes,Yes,No,40,11,No,Yes,10,0.9091,0.275,9,0.8182,49,60,19,-11,0.6,0.35,-1,85.2,1.225,4.4545,-1.1161,5.4444,6.6667,2.1111,15.7803,15.7803,0.2558,4.9,13.9,9.4,13.9,18.4,13.9,9.4,13.9,13.9,13.9,9.4,18.4,13.9,,16,0.05,1,,1,1,0.1111,,,,,
Justice Hill,BLT,RB,21,No,Yes,No,19,16,No,Yes,11,0.6875,0.8421,11,0.6875,76,90,11,-14,,,-0.875,79.2,4,4.75,-1.2149,6.9091,8.1818,1,26.7904,26.7904,0.7619,7.6,18.6,13.1,24.1,18.6,18.6,13.1,18.6,18.6,18.6,13.1,18.6,18.6,1,16,,,1,4,2,0.1818,,,,,
Anthony Firkser,KC,TE,2,Yes,Yes,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
James Conner,ARZ,RB,29,No,Yes,No,24,21,No,Yes,21,1,0.875,21,1,143,159,68,-16,,,-0.7619,95,5.9583,6.8095,0.9421,6.8095,7.5714,3.2381,33.7855,33.7855,0.7241,14.3,35.3,24.8,45.8,35.3,38.3,27.8,35.3,35.3,35.3,24.8,35.3,35.3,2,16,,,1,4,7,0.3333,,,,,
Jonathan Taylor,IND,RB,9,No,Yes,No,9,9,No,Yes,7,0.7778,1,6,0.6667,25,23,7,,,,,70.1,2.7778,2.7778,-3.3544,4.1667,3.8333,1.1667,15.3703,15.3703,1,2.5,8.5,5.5,11.5,8.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,,14,,,1,,,,1,0.1111,,,
Troy Franklin,DEN,WR,33,Yes,No,No,32,1,No,Yes,1,1,0.0312,1,1,2,5,2,-3,,0.1562,-3,79.2,0.0625,2,-2.9408,2,5,2,1.6549,1.6549,0.0303,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,16,0.8438,,,,,,,,,,
Javon Baker,NE,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,
Michael Pittman,IND,WR,21,No,Yes,No,21,,No,Yes,,,,,,,,,,,0.2381,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.7619,,,,,,,,,,
Malik Washington,MIA,WR,15,Yes,Yes,No,13,,No,Yes,,,,,,,,,,,0.5385,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.4615,,,,,,,,,,
Tyler Goodson,IND,RB,7,No,Yes,No,7,5,No,Yes,5,1,0.7143,5,1,27,21,14,6,,,1.2,89.2,3.8571,5.4,-0.6575,5.4,4.2,2.8,7.1326,7.1326,0.7143,2.7,7.7,5.2,10.2,7.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,1,16,,,1,1,1,0.2,,,,,
Jordan Mason,SF,RB,14,No,No,No,12,10,No,Yes,9,0.9,0.8333,9,0.9,61,39,13,26,,0.0833,2.6,92.1,5.0833,6.1,-0.4389,6.7778,4.3333,1.4444,15.4674,15.4674,0.7143,6.1,15.1,10.6,19.6,15.1,15.1,10.6,15.1,15.1,15.1,10.6,15.1,15.1,3,12,0.0833,,0.8333,3,2,0.2222,,,,,
Tre Tucker,LV,WR,50,No,No,No,49,,No,No,,,,,,,,,,,0.3878,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6122,,,,,,,,,,
Javonte Williams,DEN,RB,46,Yes,No,No,40,34,No,Yes,29,0.8529,0.85,26,0.7647,158,134,45,23,0.1,,0.6765,85.2,3.95,4.6471,-1.5314,6.0769,5.1538,1.7308,48.8332,48.8332,0.7391,15.8,41.8,28.8,54.8,41.8,44.8,31.8,41.8,41.8,41.8,28.8,41.8,41.8,,17,0.025,1,0.875,7,4,0.1538,2,0.0588,,1,1
Grant DuBose,MIA,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
Cam Akers,MIN,RB,8,Yes,No,Yes,7,5,No,Yes,5,1,0.7143,5,1,16,18,2,-2,,,-0.4,80,2.2857,3.2,-2.7842,3.2,3.6,0.4,7.521,7.521,0.625,1.6,6.6,4.1,9.1,6.6,6.6,4.1,6.6,6.6,6.6,4.1,6.6,6.6,,16,,1,1,,1,0.2,,,,1,
JaMycal Hasty,NE,RB,8,No,Yes,Yes,8,8,No,Yes,7,0.875,1,7,0.875,54,57,16,-3,,,-0.375,134.4,6.75,6.75,0.8777,7.7143,8.1429,2.2857,12.3563,12.3563,1,11.4,18.4,14.9,21.9,18.4,18.4,14.9,18.4,18.4,18.4,14.9,18.4,18.4,1,13,,,1,2,6,0.8571,,,1,,
Greg Dortch,ARZ,WR,23,Yes,Yes,No,23,3,No,No,3,1,0.1304,3,1,17,26,16,-9,,0.7826,-3,90.3,0.7391,5.6667,0.7722,5.6667,8.6667,5.3333,6.4725,6.4725,0.1304,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,17,0.2174,,,1,2,0.6667,,,,,
Tip Reiman,ARZ,TE,17,Yes,Yes,No,12,2,No,No,2,1,0.1667,2,1,6,4,1,2,0.9167,0.0833,1,79.2,0.5,3,-2.8295,3,2,0.5,4.389,4.389,0.1176,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,17,,,,,1,0.5,,,,,
Courtland Sutton,DEN,WR,56,Yes,No,No,56,,No,Yes,,,,,,,,,,,0.1071,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8929,,,,,,,,,,
Audric Estime,DEN,RB,4,Yes,No,No,4,4,No,Yes,4,1,1,4,1,16,25,10,-9,,,-2.25,83.3,4,4,-1.9091,4,6.25,2.5,7.8269,7.8269,1,1.6,5.6,3.6,7.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,,13,,,1,1,,,,,,,
Charlie Kolar,BLT,TE,3,No,No,Yes,3,,No,No,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,,,,,,,,,,
Darnell Washington,PIT,TE,28,No,Yes,No,16,2,Yes,Yes,2,1,0.125,2,1,24,23,21,1,0.9375,,0.5,116.7,1.5,12,6.3643,12,11.5,10.5,2.9746,2.9746,0.0714,2.4,4.4,3.4,4.4,5.4,4.4,3.4,4.4,4.4,4.4,3.4,5.4,4.4,,17,0.0625,,,1,2,1,,,,,
Zach Ertz,WAS,TE,28,No,No,No,26,3,No,Yes,2,0.6667,0.1154,2,0.6667,9,9,2,5,0.2308,0.6538,1.6667,70.1,0.3462,3,-2.7778,4.5,4.5,1,4.6155,4.6155,0.1071,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,,17,0.0769,,0.0385,,,,,,,,
Davis Allen,LA,TE,12,Yes,Yes,Yes,6,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3333,,,,,,,,,,
John Samuel Shenker,LV,TE,3,No,Yes,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Tim Jones,JAX,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,17,Yes,No,Yes,16,15,No,Yes,13,0.8667,0.9375,11,0.7333,136,143,22,-17,,,-1.1333,123.2,8.5,9.0667,3.0612,12.3636,13,2,22.6683,22.6683,0.8824,19.6,30.6,25.1,36.1,30.6,33.6,28.1,30.6,30.6,30.6,25.1,30.6,30.6,2,17,,1,1,6,5,0.4545,1,0.0667,1,,
Odell Beckham,MIA,WR,6,Yes,No,No,6,1,Yes,Yes,1,1,0.1667,1,1,1,1,1,,,0.5,,79.2,0.1667,1,-5.0386,1,1,1,1.4832,1.4832,0.1667,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,9,0.5,,,,,,,,,,
D.J. Turner,LV,WR,19,No,Yes,No,19,3,No,Yes,2,0.6667,0.1579,2,0.6667,25,32,4,-9,,0.7895,-3,92.4,1.3158,8.3333,3.1964,12.5,16,2,4.3189,4.3189,0.1579,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,,12,0.2105,,,1,2,1,,,,,
Dalton Kincaid,BUF,TE,24,No,No,No,23,5,No,No,3,0.6,0.2174,3,0.6,23,22,7,-2,0.5217,0.4348,-0.4,71.3,1,4.6,-1.1148,7.6667,7.3333,2.3333,7.4435,7.4435,0.2083,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,,13,0.0435,,,1,1,0.3333,,,,,
Jakobi Meyers,LV,WR,45,No,No,No,45,,No,No,,,,,,,,,,,0.2444,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7556,,,,,,,,,,
Hunter Henry,NE,TE,33,No,Yes,Yes,31,3,No,Yes,3,1,0.0968,3,1,11,15,3,-4,0.3871,0.4516,-1.3333,81.9,0.3548,3.6667,-1.5154,3.6667,5,1,4.9061,4.9061,0.0909,1.1,4.1,2.6,4.1,5.6,4.1,2.6,4.1,4.1,4.1,2.6,5.6,4.1,1,16,0.1613,,,,,,,,,,
Nelson Agholor,BLT,WR,18,No,No,No,18,,No,Yes,,,,,,,,,,0.0556,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6111,,,,,,,,,,
Gabe Davis,JAX,WR,20,No,No,No,20,1,No,Yes,,,0.05,,,,,,,,0.15,,39.6,,,-6.0386,,,,1.4339,1.4339,0.05,,,,,,,,,,,,,,,10,0.85,,,,,,,,,,
Michael Wilson,ARZ,WR,50,No,Yes,No,50,,No,Yes,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.74,,,,,,,,,,
Cody White,SEA,WR,4,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.75,,,,,,,,,,
River Cracraft,MIA,WR,3,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,
DJ Chark,LAC,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,
Ian Thomas,CAR,TE,5,No,Yes,No,4,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Zay Flowers,BLT,WR,28,No,No,Yes,28,1,No,No,,,0.0357,,,,,,-4,,0.3571,-4,39.6,,,-4.4851,,,,1.65,1.65,0.0357,,,,,,,,,,,,,,1,17,0.6429,,,,,,,,,,
Ezekiel Elliott,DAL,RB,11,Yes,Yes,No,8,8,No,Yes,7,0.875,1,7,0.875,40,57,4,-16,,0.125,-2,87.5,5,5,-0.7377,5.7143,8.1429,0.5714,11.35,11.35,0.7273,4,11,7.5,14.5,11,11,7.5,11,11,11,7.5,11,11,,15,,1,0.875,1,2,0.2857,,,,1,
Stone Smartt,LAC,TE,5,No,No,No,5,,No,No,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
Eric Tomlinson,LAC,TE,5,No,No,No,5,2,No,Yes,2,1,0.4,2,1,9,12,5,-3,0.8,,-1.5,85.4,1.8,4.5,-1.0771,4.5,6,2.5,2.8994,2.8994,0.4,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,,9,0.2,,,,1,0.5,,,,,
T.J. Hockenson,MIN,TE,13,Yes,No,Yes,13,,No,Yes,,,,,,,,,,0.7692,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0769,,,,,,,,,,
Simi Fehoko,LAC,WR,11,No,Yes,No,11,,No,No,,,,,,,,,,,0.0909,,,,,,,,,1.349,1.349,,,,,,,,,,,,,,,,8,0.9091,,,,,,,,,,
Xavier Hutchinson,HST,WR,20,No,Yes,No,20,,No,No,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.55,,,,,,,,,,
Josh Reynolds,JAX,WR,19,No,Yes,No,19,,No,Yes,,,,,,,,,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.8947,,,,,,,,,,
Noah Gray,KC,TE,25,Yes,No,No,22,3,No,Yes,3,1,0.1364,3,1,9,10,1,-1,0.5,0.2727,-0.3333,79.2,0.4091,3,-2.8414,3,3.3333,0.3333,4.5996,4.5996,0.12,0.9,3.9,2.4,3.9,5.4,3.9,2.4,3.9,3.9,3.9,2.4,5.4,3.9,,17,0.1818,,0.0455,,,,,,,,
Brian Thomas,JAX,WR,38,No,Yes,No,38,,No,Yes,,,,,,,,,,,0.1842,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8158,,,,,,,,,,
DeAndre Hopkins,KC,WR,24,No,Yes,No,24,,No,No,,,,,,,,,,,0.2917,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.7083,,,,,,,,,,
Tim Patrick,DET,WR,21,Yes,No,Yes,21,1,No,Yes,1,1,0.0476,1,1,3,6,3,-3,,0.1905,-3,79.2,0.1429,3,-1.9408,3,6,3,1.435,1.435,0.0476,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,16,0.8095,,,,1,1,,,,,
Devin Culp,TB,TE,1,Yes,Yes,No,1,1,No,Yes,1,1,1,1,1,9,4,2,5,,,5,104.2,9,9,2.52,9,4,2,1.4025,1.4025,1,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,5,1,,,,,,,,,,
Tyrone Tracy,NYG,RB,17,No,Yes,No,16,12,No,Yes,10,0.8333,0.75,10,0.8333,69,57,17,17,,,1.4167,90.6,4.3125,5.75,-0.5232,6.9,5.7,1.7,18.5447,18.5447,0.7059,6.9,16.9,11.9,21.9,16.9,16.9,11.9,16.9,16.9,16.9,11.9,16.9,16.9,,17,,,1,3,2,0.2,,,,,
Michael Mayer,LV,TE,20,No,No,No,18,2,No,No,2,1,0.1111,2,1,5,6,,-1,0.5,0.3333,-0.5,79.2,0.2778,2.5,-2.8133,2.5,3,,4.5135,4.5135,0.1,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,1,11,0.1667,,,,,,,,,,
Marvin Harrison,ARZ,WR,49,Yes,Yes,No,49,,No,No,,,,,,,,,,,0.2653,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7347,,,,,,,,,,
Collin Johnson,CHI,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Bryce Oliver,TEN,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.5,,,,,,,,,,
Mo Alie-Cox,IND,TE,12,No,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,7,4,,3,0.7778,0.2222,3,95.8,0.7778,7,0.6782,7,4,,1.251,1.251,0.0833,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,,,,,,,,,
Rashee Rice,KC,WR,8,Yes,Yes,No,7,,No,Yes,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4286,,,,,,,,,,
Ty Chandler,MIN,RB,2,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,8,10,2,-2,,,-2,100,4,8,1.802,8,10,2,1.4591,1.4591,0.5,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,15,,,1,,,,,,,,
Austin Hooper,NE,TE,28,No,No,No,24,3,No,Yes,3,1,0.125,3,1,30,39,9,-9,0.7917,0.1667,-3,108.3,1.25,10,4.4397,10,13,3,4.0026,4.0026,0.1071,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,,17,0.0417,,,2,2,0.6667,,,,,
Britain Covey,PHI,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,11,15,1,-4,,0.5,-4,112.5,5.5,11,6.5149,11,15,1,1.4911,1.4911,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,5,0.5,,,1,1,1,,,,,
Justin Watson,KC,WR,25,Yes,No,No,25,,No,Yes,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.84,,,,,,,,,,
Jaylen Wright,MIA,RB,7,Yes,Yes,No,5,5,No,Yes,4,0.8,1,2,0.4,6,9,12,-11,,,-2.2,47.9,1.2,1.2,-4.8308,3,4.5,6,8.1017,8.1017,0.7143,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,1,15,,,1,1,1,0.5,2,0.4,,,
Ihmir Smith-Marsette,NYG,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
Jordan Addison,MIN,WR,21,Yes,No,Yes,20,2,No,Yes,2,1,0.1,1,0.5,9,14,2,-10,,0.3,-5,62.5,0.45,4.5,0.3404,9,14,2,2.545,2.545,0.0952,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,15,0.7,,,,1,1,1,0.5,,,
Tyler Lockett,SEA,WR,38,Yes,Yes,Yes,38,,No,Yes,,,,,,,,,,,0.1316,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8684,,,,,,,,,,
Keon Coleman,BUF,WR,14,No,No,No,14,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,25,Yes,No,No,24,,No,Yes,,,,,,,,,,,0.5417,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4583,,,,,,,,,,
Kenneth Walker,SEA,RB,22,No,Yes,No,20,18,No,Yes,17,0.9444,0.9,17,0.9444,137,165,42,-30,,,-1.6667,98.4,6.85,7.6111,1.8517,8.0588,9.7059,2.4706,25.795,25.795,0.8182,13.7,30.7,22.2,39.2,30.7,33.7,25.2,30.7,30.7,30.7,22.2,30.7,30.7,4,11,,,1,9,4,0.2353,,,,,
De'Von Achane,MIA,RB,32,Yes,Yes,No,29,20,No,Yes,20,1,0.6897,20,1,110,129,54,-42,,0.1379,-2.1,106.3,3.7931,5.5,-0.349,5.5,6.45,2.7,33.68,33.68,0.625,17,37,27,47,37,40,30,37,37,37,27,37,37,1,17,0.1724,,0.6897,5,5,0.25,,,1,,
Mike Evans,TB,WR,29,Yes,Yes,No,29,,No,Yes,,,,,,,,,,,0.2069,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.7931,,,,,,,,,,
John FitzPatrick,GB,TE,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,2,,,2,1,,2,79.2,1,2,-4.3701,2,,,1.4542,1.4542,0.5,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,9,,,,,2,2,,,,,
Sean Tucker,TB,RB,8,Yes,Yes,No,8,7,No,Yes,6,0.8571,0.875,5,0.7143,72,67,21,14,,,2,144,9,10.2857,3.6644,14.4,13.4,4.2,10.0001,10.0001,0.875,13.2,18.2,15.7,20.7,18.2,18.2,15.7,18.2,18.2,18.2,15.7,18.2,18.2,,17,,1,1,4,3,0.6,,,1,,
Ramel Keyton,LV,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,
Zach Pascal,ARZ,WR,3,Yes,Yes,No,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6667,,,,,,,,,,
Xavier Gipson,NYJ,WR,9,Yes,Yes,No,9,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,
Cedrick Wilson,NO,WR,32,Yes,Yes,No,30,2,No,Yes,2,1,0.0667,2,1,7,22,3,-15,,0.4333,-7.5,81.3,0.2333,3.5,0.9595,3.5,11,1.5,3.5024,3.5024,0.0625,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,15,0.5667,,,,,,,,,,
Tank Bigsby,JAX,RB,4,No,Yes,No,4,4,No,Yes,4,1,1,3,0.75,16,15,2,-5,,,-1.25,81.3,4,4,-1.9244,5.3333,5,0.6667,5.4259,5.4259,1,1.6,4.6,3.1,6.1,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,,16,,,1,,,,1,0.25,,,
Mike Woods,CLV,WR,14,No,No,No,14,,No,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.8571,,,,,,,,,,
Jack Stoll,MIA,TE,4,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,16,No,No,No,15,1,No,Yes,1,1,0.0667,1,1,3,2,1,1,0.4667,0.4667,1,79.2,0.2,3,-2.7754,3,2,1,1.5754,1.5754,0.0625,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,17,0.0667,,,,,,,,,,
Nate Adkins,DEN,TE,16,Yes,No,No,10,3,No,Yes,3,1,0.3,3,1,18,15,4,3,0.8,0.1,1,91.7,1.8,6,-0.3955,6,5,1.3333,5.0386,5.0386,0.1875,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,1,17,0.1,,,,,,,,,,
Trent Taylor,SF,WR,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Malik Heath,GB,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.75,,,,,,,,,,
Mecole Hardman,KC,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,,,,,,,,,,
Shane Zylstra,DET,TE,4,Yes,No,Yes,4,,No,Yes,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.25,,0.25,,,,,,,,
Chris Conley,SF,WR,7,Yes,Yes,No,7,,No,No,,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7143,,,,,,,,,,
Travis Homer,CHI,RB,3,Yes,No,No,3,3,No,Yes,3,1,1,3,1,11,9,3,2,,,0.6667,81.9,3.6667,3.6667,-2.3144,3.6667,3,1,4.3949,4.3949,1,1.1,4.1,2.6,5.6,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,,9,,,1,,,,,,,,
Jaelon Darden,SEA,WR,2,Yes,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,
Marquez Callaway,TB,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Puka Nacua,LA,WR,14,No,Yes,No,14,,No,Yes,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5714,,,,,,,,,,
Joe Mixon,HST,RB,25,No,Yes,No,21,17,No,No,13,0.7647,0.8095,13,0.7647,106,117,39,-3,,,-0.1765,91.8,5.0476,6.2353,0.0994,8.1538,9,3,26.9244,26.9244,0.68,10.6,23.6,17.1,30.1,23.6,26.6,20.1,23.6,23.6,23.6,17.1,23.6,23.6,2,14,0.0476,,0.9524,3,2,0.1538,,,,,
Kristian Wilkerson,LV,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,,,,,,,
James Proche,CLV,WR,2,No,No,Yes,2,1,No,No,1,1,0.5,1,1,3,4,4,-1,,0.5,-1,79.2,1.5,3,-3.1699,3,4,4,1.4522,1.4522,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,9,0.5,,,,1,1,,,,,
