Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Robbie Chosen,MIA,WR,4,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,
Ja'Marr Chase,CIN,WR,34,Yes,No,No,29,21,No,Yes,20,0.9524,0.7241,19,0.9048,174,227,66,-60,0.4138,21,21,1,-2.8571,97.2,6,8.2857,3.2883,9.1579,11.9474,3.4737,34.9098,34.9098,0.6176,23.4,42.4,32.9,42.4,42.4,45.4,35.9,42.4,42.4,42.4,32.9,42.4,42.4,17,,7,1,7,0.3684,0.5862,3,,,1,0.0476,,
D'Andre Swift,CHI,RB,70,No,No,No,41,22,No,Yes,20,0.9091,0.5366,18,0.8182,232,303,77,-85,0.0976,22,22,1,-3.8636,110.6,5.6585,10.5455,4.8927,12.8889,16.8333,4.2778,34.7204,34.7204,0.3143,23.2,41.2,32.2,50.2,41.2,44.2,35.2,41.2,41.2,41.2,32.2,41.2,41.2,17,0.8537,6,,4,0.2222,0.0488,,,,2,0.0909,,
Adam Trautman,DEN,TE,23,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,
Jonathan Mingo,DAL,WR,25,No,No,No,11,2,No,Yes,2,1,0.1818,2,1,12,16,1,-4,0.3636,2,2,1,-2,91.7,1.0909,6,0.4447,6,8,0.5,2.923,2.923,0.08,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,17,,1,,,,0.6364,,,,,,,
Cooper Kupp,LA,WR,26,No,No,No,8,5,No,Yes,5,1,0.625,5,1,25,38,11,-13,0.75,5,5,1,-2.6,87.5,3.125,5,-0.1866,5,7.6,2.2,8.0587,8.0587,0.1923,2.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,12,,1,,1,0.2,0.25,,,,,,,
Tommy Tremble,CAR,TE,19,No,No,No,4,1,No,Yes,1,1,0.25,1,1,5,6,2,-1,0.25,1,1,1,-1,87.5,1.25,5,0.0986,5,6,2,1.706,1.706,0.0526,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,12,,,,,,0.25,,,,,,0.5,
James Conner,ARZ,RB,31,No,No,No,24,19,No,Yes,18,0.9474,0.7917,15,0.7895,188,242,73,-61,0.0833,19,19,1,-3.2105,125.4,7.8333,9.8947,3.9162,12.5333,16.1333,4.8667,31.4685,31.4685,0.6129,23.8,38.8,31.3,46.3,38.8,41.8,33.3,37.8,37.8,37.8,30.3,38.8,37.8,16,0.9167,8,1,9,0.6,,1,,,2,0.1053,,
Justice Hill,BLT,RB,27,Yes,No,No,21,18,No,Yes,18,1,0.8571,18,1,148,218,56,-70,0.1429,18,18,1,-3.8889,119.4,7.0476,8.2222,2.4765,8.2222,12.1111,3.1111,29.91,29.91,0.6667,20.8,38.8,29.8,47.8,38.8,41.8,32.8,38.8,38.8,38.8,29.8,38.8,38.8,16,0.5238,7,1,4,0.2222,0.2857,4,,,,,0.0476,
Tyler Conklin,NYJ,TE,54,Yes,No,No,16,6,No,Yes,6,1,0.375,6,1,9,23,4,-14,0.0625,6,6,1,-2.3333,79.2,0.5625,1.5,-3.8665,1.5,3.8333,0.6667,11.3285,11.3285,0.1111,0.9,6.9,3.9,6.9,9.9,6.9,3.9,6.9,6.9,6.9,3.9,9.9,6.9,16,,1,,,,0.4375,1,,,,,0.5,
Sincere McCormick,LV,RB,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,8,13,2,-5,,1,1,1,-5,100,8,8,2.1289,8,13,2,2.6609,2.6609,1,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,4,1,,,,,,,,,,,,
K.J. Osborn,WAS,WR,12,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,4,10,2,-6,0.6,1,1,1,-6,83.3,0.8,4,0.2581,4,10,2,1.3542,1.3542,0.0833,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,9,,,,,,0.4,,,,,,,
Chris Brooks,GB,RB,9,No,No,No,5,5,No,Yes,5,1,1,5,1,22,35,12,-13,,5,5,1,-2.6,85,4.4,4.4,-1.5279,4.4,7,2.4,7.3725,7.3725,0.5556,2.2,7.2,4.7,9.7,7.2,7.2,4.7,7.2,7.2,7.2,4.7,7.2,7.2,13,0.6,,,,,0.2,2,2,2,,,0.2,
Christian Watson,GB,WR,37,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.3333,,,,,,,
Blake Watson,DEN,RB,3,Yes,No,No,1,1,No,Yes,1,1,1,1,1,13,18,8,-5,,1,1,1,-5,118.8,13,13,7.1289,13,18,8,1.6815,1.6815,0.3333,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2,1,,,1,1,,1,,,,,,
Darnell Washington,PIT,TE,23,Yes,No,No,2,2,No,Yes,1,0.5,1,1,0.5,4,7,1,-7,0.5,2,2,1,-3.5,56.3,2,2,-4.1008,4,7,1,3.1969,3.1969,0.087,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,,,,1,1,,,,,,,0.5,
Zach Ertz,WAS,TE,55,No,No,No,9,2,No,Yes,2,1,0.2222,2,1,10,12,3,-2,0.2222,2,2,1,-1,87.5,1.1111,5,-0.0701,5,6,1.5,2.8598,2.8598,0.0364,1,3,2,3,4,3,2,3,3,3,2,4,3,17,,,,,,0.5556,,,,,,0.2222,
Audric Estime,DEN,RB,10,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,
Davis Allen,LA,TE,10,Yes,No,No,1,1,No,Yes,,,1,,,,,,-5,,1,1,1,-5,39.6,,,-4.3733,,,,1.3703,1.3703,0.1,,,,,,,,,,,,,,14,,,,,,,,,,,,1,
Terrell Jennings,NE,RB,2,Yes,No,No,1,1,No,Yes,,,1,,,,,,-6,,1,1,1,-6,39.6,,,-5.0893,,,,2.0857,2.0857,0.5,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
Cam Akers,MIN,RB,20,No,No,No,10,6,No,Yes,5,0.8333,0.6,5,0.8333,28,51,13,-24,,6,6,1,-4,125.7,2.8,4.6667,-0.746,5.6,10.2,2.6,9.534,9.534,0.3,8.8,13.8,11.3,16.3,13.8,13.8,11.3,13.8,13.8,13.8,11.3,13.8,13.8,16,0.9,1,1,,,,1,,,,,0.1,
JaMycal Hasty,NE,RB,8,Yes,No,Yes,4,2,No,Yes,2,1,0.5,2,1,6,17,7,-11,,2,2,1,-5.5,79.2,1.5,3,-2.0493,3,8.5,3.5,2.7188,2.7188,0.25,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,13,1,,,1,0.5,,,,,,,,
Tip Reiman,ARZ,TE,21,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,
Javonte Williams,DEN,RB,38,Yes,No,No,26,17,No,Yes,17,1,0.6538,16,0.9412,91,191,45,-105,,17,17,1,-6.1765,89,3.5,5.3529,0.1902,5.6875,11.9375,2.8125,27.469,27.469,0.4474,9.1,25.1,17.1,33.1,25.1,25.1,17.1,25.1,25.1,25.1,17.1,25.1,25.1,17,0.9615,4,,2,0.125,,,,,1,0.0588,0.0385,
Greg Dortch,ARZ,WR,31,No,No,No,13,10,No,Yes,10,1,0.7692,10,1,126,154,57,-28,0.3077,10,10,1,-2.8,152.1,9.6923,12.6,7.5947,12.6,15.4,5.7,15.505,15.505,0.3226,18.6,28.6,23.6,28.6,28.6,31.6,26.6,28.6,28.6,28.6,23.6,28.6,28.6,17,0.1538,4,1,7,0.7,0.5385,1,,,,,,
Courtland Sutton,DEN,WR,74,Yes,No,No,16,4,No,Yes,4,1,0.25,4,1,27,30,5,-3,0.9375,4,4,1,-0.75,94.8,1.6875,6.75,1.3141,6.75,7.5,1.25,5.9937,5.9937,0.0548,6.78,10.78,8.78,10.78,10.78,10.78,8.78,10.78,10.78,10.78,8.78,10.8,10.8,17,,3,,,,0.0625,,,,,,,
Tyler Goodson,IND,RB,8,Yes,No,No,6,4,No,No,3,0.75,0.6667,3,0.75,25,43,11,-22,,4,4,1,-5.5,90.6,4.1667,6.25,1.0405,8.3333,14.3333,3.6667,6.2447,6.2447,0.5,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,16,0.8333,1,,2,0.6667,0.1667,,,,,,,
Jordan Mason,SF,RB,8,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,
Tre Tucker,LV,WR,40,Yes,No,Yes,16,11,No,Yes,11,1,0.6875,10,0.9091,48,74,21,-27,0.625,11,11,1,-2.4545,84.8,3,4.3636,-0.9208,4.8,7.4,2.1,16.467,16.467,0.275,4.8,14.8,9.8,14.8,14.8,14.8,9.8,14.8,14.8,14.8,9.8,14.8,14.8,17,,1,,1,0.1,0.375,,,,1,0.0909,,
Grant DuBose,MIA,WR,9,No,No,No,2,1,No,Yes,1,1,0.5,1,1,-2,4,,-6,0.5,1,1,1,-6,79.2,-1,-2,-5.7419,-2,4,,2.0857,2.0857,0.1111,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,3,,,,,,0.5,,,,,,,
Tim Jones,JAX,WR,12,Yes,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,
Michael Pittman,IND,WR,37,Yes,No,No,15,12,No,No,11,0.9167,0.8,11,0.9167,61,77,19,-17,0.8667,12,12,1,-1.4167,87.8,4.0667,5.0833,-0.5023,5.5455,7,1.7273,18.7293,18.7293,0.3243,6.1,17.1,11.6,17.1,17.1,17.1,11.6,17.1,17.1,17.1,11.6,17.1,17.1,16,,2,,,,0.1333,2,,,,,,
Malik Washington,MIA,WR,44,Yes,No,No,18,10,No,Yes,10,1,0.5556,9,0.9,58,87,34,-30,0.5556,10,10,1,-3,90.8,3.2222,5.8,0.804,6.4444,9.6667,3.7778,15.3527,15.3527,0.2273,5.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14,,3,,1,0.1111,0.4444,2,1,,,,,
Tyrell Shavers,BUF,WR,2,No,No,Yes,1,1,No,Yes,1,1,1,1,1,69,71,61,-2,,1,1,1,-2,158.3,69,69,63.5009,69,71,61,1.5102,1.5102,0.5,12.9,13.9,13.4,13.9,13.9,13.9,13.4,13.9,13.9,13.9,13.4,13.9,13.9,3,,1,1,2,2,1,,,,,,,
Jonathan Taylor,IND,RB,28,Yes,No,No,13,9,No,No,7,0.7778,0.6923,6,0.6667,58,85,46,-42,,9,9,1,-4.6667,44.9,4.4615,6.4444,0.9428,9.6667,14.1667,7.6667,13.3493,13.3493,0.3214,5.8,11.8,8.8,14.8,11.8,11.8,8.8,11.8,11.8,11.8,8.8,11.8,11.8,14,0.8462,3,,4,0.6667,0.1538,,,,,,,
Troy Franklin,DEN,WR,29,Yes,No,No,18,11,No,Yes,11,1,0.6111,10,0.9091,58,91,31,-35,0.5556,11,11,1,-3.1818,118.9,3.2222,5.2727,0.3868,5.8,9.1,3.1,19.3541,19.3541,0.3793,11.8,21.8,16.8,21.8,21.8,21.8,16.8,21.8,21.8,21.8,16.8,21.8,21.8,16,,2,1,2,0.2,0.4444,4,,,1,0.0909,,
River Cracraft,MIA,WR,10,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Tim Patrick,DET,WR,42,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,10,13,3,-3,0.7857,2,2,1,-1.5,87.5,0.7143,5,-0.8345,5,6.5,1.5,3.9048,3.9048,0.0476,1,3,2,3,3,3,2,3,3,3,2,3,3,16,,,,,,0.2143,1,,,,,,
Brian Thomas,JAX,WR,43,Yes,No,No,24,16,No,No,16,1,0.6667,16,1,129,165,38,-36,0.5417,16,16,1,-2.25,100.3,5.375,8.0625,2.6825,8.0625,10.3125,2.375,27.3811,27.3811,0.3721,12.9,28.9,20.9,28.9,28.9,31.9,23.9,28.9,28.9,28.9,20.9,28.9,28.9,17,,7,,3,0.1875,0.4583,,,,,,,1
DeAndre Hopkins,KC,WR,20,No,No,No,5,1,No,Yes,1,1,0.2,1,1,1,2,1,-1,0.8,1,1,1,-1,79.2,0.2,1,-5.1699,1,2,1,1.5766,1.5766,0.05,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,16,,,,,,0.2,,,,,,,
Josh Reynolds,JAX,WR,18,Yes,No,No,2,1,No,No,1,1,0.5,1,1,3,7,3,-4,,1,1,1,-4,79.2,1.5,3,-1.4851,3,7,3,1.4911,1.4911,0.0556,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,9,,,,,,1,,,,,,,
Noah Gray,KC,TE,44,Yes,No,No,12,4,No,Yes,4,1,0.3333,4,1,39,49,8,-10,0.25,4,4,1,-2.5,107.3,3.25,9.75,4.2615,9.75,12.25,2,9.7239,9.7239,0.0909,3.9,7.9,5.9,7.9,9.9,7.9,5.9,7.9,7.9,7.9,5.9,9.9,7.9,17,0.0833,3,,1,0.25,0.1667,2,,,,,0.5,
Simi Fehoko,LAC,WR,10,No,No,No,3,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,28,No,No,No,8,2,No,No,2,1,0.25,2,1,8,17,9,-9,0.625,2,2,1,-4.5,83.3,1,4,-0.3223,4,8.5,4.5,2.7648,2.7648,0.0714,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,16,,,,1,0.5,0.375,,,,,,,
Ezekiel Elliott,DAL,RB,9,No,No,No,5,3,No,Yes,3,1,0.6,3,1,13,19,10,-6,,3,3,1,-2,84.7,2.6,4.3333,-1.8647,4.3333,6.3333,3.3333,4.8167,4.8167,0.3333,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,15,0.8,1,,1,0.3333,0.2,1,,,,,,
Stone Smartt,LAC,TE,10,Yes,No,Yes,2,1,No,Yes,1,1,0.5,1,1,6,9,3,-3,,1,1,1,-3,91.7,3,6,0.1348,6,9,3,1.6455,1.6455,0.1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,14,,,,,,0.5,,,,,,0.5,
T.J. Hockenson,MIN,TE,26,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0.6667,,,,,,0.3333,
Ian Thomas,CAR,TE,4,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,
Zay Flowers,BLT,WR,51,No,No,Yes,37,21,No,Yes,20,0.9524,0.5676,18,0.8571,152,208,39,-63,0.2973,21,21,1,-3,96.8,4.1081,7.2381,2.2173,8.4444,11.5556,2.1667,36.2426,36.2426,0.4118,15.2,33.2,24.2,33.2,33.2,36.2,27.2,33.2,33.2,33.2,24.2,33.2,33.2,17,,5,,3,0.1667,0.7027,,,,2,0.0952,,
Michael Wilson,ARZ,WR,37,No,No,No,12,2,No,Yes,2,1,0.1667,2,1,5,10,3,-5,0.5833,2,2,1,-2.5,79.2,0.4167,2.5,-2.72,2.5,5,1.5,4.6542,4.6542,0.0541,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,16,,,,,,0.4167,1,,,,,,
Hunter Henry,NE,TE,43,Yes,No,Yes,14,5,No,Yes,4,0.8,0.3571,4,0.8,52,67,24,-17,0.1429,5,5,1,-3.4,110,3.7143,10.4,5.0503,13,16.75,6,7.7977,7.7977,0.1163,5.2,9.2,7.2,9.2,11.2,9.2,7.2,9.2,9.2,9.2,7.2,11.2,9.2,16,,2,,2,0.5,0.4286,1,,,,,0.4286,
Nelson Agholor,BLT,WR,22,Yes,No,No,9,1,No,Yes,1,1,0.1111,1,1,-2,2,,-4,0.6667,1,1,1,-4,79.2,-0.2222,-2,-6.4851,-2,2,,1.4329,1.4329,0.0455,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,14,,,,,,0.3333,,,,,,,
Dalton Kincaid,BUF,TE,30,No,No,Yes,12,12,No,Yes,12,1,1,12,1,62,97,44,-35,0.0833,12,12,1,-2.9167,88.2,5.1667,5.1667,-0.6105,5.1667,8.0833,3.6667,18.9609,18.9609,0.4,6.2,18.2,12.2,18.2,24.2,18.2,12.2,18.2,18.2,18.2,12.2,24.2,18.2,13,,1,,2,0.1667,0.5833,2,,,,,0.3333,
Jakobi Meyers,LV,WR,34,Yes,No,Yes,13,7,No,Yes,7,1,0.5385,7,1,25,40,12,-15,0.7692,7,7,1,-2.1429,81.5,1.9231,3.5714,-1.8123,3.5714,5.7143,1.7143,13.2677,13.2677,0.2059,2.5,9.5,6,9.5,9.5,9.5,6,9.5,9.5,9.5,6,9.5,9.5,15,,1,,,,0.2308,,,,,,,
Gabe Davis,JAX,WR,23,No,No,No,4,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0.5,,,,,,,
D.J. Turner,LV,WR,16,Yes,No,No,5,2,No,Yes,2,1,0.4,2,1,12,17,8,-5,0.2,2,2,1,-2.5,91.7,2.4,6,0.78,6,8.5,4,3.1431,3.1431,0.125,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,12,,,,1,0.5,0.8,,,,,,,
Jahmyr Gibbs,DET,RB,47,No,No,No,27,21,No,Yes,20,0.9524,0.7778,20,0.9524,164,266,49,-107,0.0741,21,21,1,-5.0952,99.2,6.0741,7.8095,2.2502,8.2,13.3,2.45,33.2164,33.2164,0.4468,15.4,35.4,25.4,45.4,35.4,38.4,27.4,34.4,34.4,34.4,24.4,35.4,34.4,17,0.7778,7,,6,0.3,0.1481,6,1,1,,,,
Cody White,SEA,WR,2,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Tyler Scott,CHI,WR,1,No,No,No,1,1,No,Yes,1,1,1,1,1,5,8,1,-3,,1,1,1,-3,87.5,5,5,0.0592,5,8,1,1.6252,1.6252,1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,,,,,,1,,,,,,,
Jaylen Wright,MIA,RB,12,Yes,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8,,,,,0.2,,,,,,,
Austin Hooper,NE,TE,21,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,49,62,25,-13,,3,3,1,-4.3333,118.8,8.1667,16.3333,10.6513,16.3333,20.6667,8.3333,7.6287,7.6287,0.1429,4.9,7.9,6.4,7.9,9.4,7.9,6.4,7.9,7.9,7.9,6.4,9.4,7.9,17,,3,,1,0.3333,0.1667,,,,,,0.8333,
Justin Watson,KC,WR,55,Yes,No,No,15,1,No,Yes,1,1,0.0667,1,1,1,3,1,-2,0.8,1,1,1,-2,79.2,0.0667,1,-4.4991,1,3,1,1.4274,1.4274,0.0182,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,,,,,,0.2,,,,,,,
Rashee Rice,KC,WR,13,Yes,Yes,Yes,9,8,No,No,8,1,0.8889,8,1,47,70,25,-23,0.6667,8,8,1,-2.875,91.1,5.2222,5.875,0.8516,5.875,8.75,3.125,12.7274,12.7274,0.6154,4.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,4,,3,,4,0.5,0.3333,1,1,1,,,,
Ty Chandler,MIN,RB,5,No,No,No,3,3,No,Yes,3,1,1,3,1,14,27,7,-13,,3,3,1,-4.3333,86.1,4.6667,4.6667,-1.0036,4.6667,9,2.3333,5.8283,5.8283,0.6,1.4,4.4,2.9,5.9,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,15,1,,,,,,1,,,,,,
Britain Covey,PHI,WR,4,Yes,No,Yes,2,2,No,Yes,2,1,1,2,1,5,9,,-4,,2,2,1,-2,79.2,2.5,2.5,-2.9991,2.5,4.5,,4.8044,4.8044,0.5,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,5,,,,,,1,2,,,,,,
Mo Alie-Cox,IND,TE,19,Yes,No,No,1,1,No,No,1,1,1,1,1,6,7,,-1,,1,1,1,-1,91.7,6,6,1.0986,6,7,,1.6152,1.6152,0.0526,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,17,,,,,,,1,,,,,1,
Bryce Oliver,TEN,WR,4,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,37,Yes,No,No,15,10,No,Yes,9,0.9,0.6667,8,0.8,93,132,38,-48,0.0667,10,10,1,-4.8,105.4,6.2,9.3,3.7057,11.625,16.5,4.75,14.8533,14.8533,0.2703,9.3,17.3,13.3,21.3,17.3,17.3,13.3,17.3,17.3,17.3,13.3,17.3,17.3,17,0.6667,5,,4,0.5,0.2667,1,,,1,0.1,,
Marvin Harrison,ARZ,WR,45,No,No,No,17,,No,Yes,,,,,,,,,,0.7647,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.2353,,,,,,,
Tank Bigsby,JAX,RB,17,Yes,No,No,3,3,No,No,3,1,1,2,0.6667,30,40,2,-12,,3,3,1,-4,99.3,10,10,4.3847,15,20,1,4.1561,4.1561,0.1765,3,5,4,6,5,5,4,5,5,5,4,5,5,16,1,1,,2,1,,,,,1,0.3333,,
Mike Woods,CLV,WR,17,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,4,6,3,-2,0.3333,1,1,1,-2,83.3,0.6667,4,-1.4991,4,6,3,1.4987,1.4987,0.0588,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,5,,,,,,0.5,,,,,,0.1667,
Zach Pascal,ARZ,WR,4,No,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,17,Yes,No,No,9,3,No,Yes,3,1,0.3333,3,1,10,19,4,-9,0.2222,3,3,1,-3,80.6,1.1111,3.3333,-1.7568,3.3333,6.3333,1.3333,4.5463,4.5463,0.1765,1,4,2.5,4,4,4,2.5,4,4,4,2.5,4,4,17,,,,1,0.3333,0.7778,,,,,,,
Cedrick Wilson,NO,WR,19,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,1,,,,,,,
Sean Tucker,TB,RB,6,No,No,No,2,1,No,Yes,1,1,0.5,1,1,6,13,4,-7,,1,1,1,-7,91.7,3,6,1.4713,6,13,4,1.1357,1.1357,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,1,,,,,,,,,,,,
De'Von Achane,MIA,RB,70,Yes,No,No,57,36,No,Yes,35,0.9722,0.6316,34,0.9444,252,377,109,-135,0.0702,36,36,1,-3.75,132.9,4.4211,7,1.2047,7.4118,11.0882,3.2059,70.9325,70.9325,0.5143,49.2,83.2,66.2,100.2,83.2,86.2,69.2,83.2,83.2,83.2,66.2,83.2,83.2,17,0.5263,12,4,9,0.2647,0.4035,11,,,1,0.0278,,
Mike Evans,TB,WR,54,No,No,No,18,1,No,Yes,1,1,0.0556,1,1,6,6,1,,0.8889,1,1,1,,91.7,0.3333,6,-0.0386,6,6,1,1.1808,1.1808,0.0185,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,14,,,,,,0.1111,,,,,,,
Xavier Smith,LA,WR,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,-5,,,-5,,1,1,1,-5,79.2,-5,-5,-9.1596,-5,,,1.6816,1.6816,1,-0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,15,,,,,,1,,,,,,,
Kenneth Walker,SEA,RB,29,Yes,No,No,20,15,No,Yes,15,1,0.75,14,0.9333,58,113,29,-56,0.2,15,15,1,-3.7333,82.8,2.9,3.8667,-1.6815,4.1429,8.0714,2.0714,23.3431,23.3431,0.5172,5.8,19.8,12.8,26.8,19.8,19.8,12.8,19.8,19.8,19.8,12.8,19.8,19.8,11,0.65,3,,2,0.1429,0.15,1,1,1,1,0.0667,,
Lil'Jordan Humphrey,DEN,WR,44,Yes,No,No,14,9,No,Yes,9,1,0.6429,9,1,66,89,49,-23,0.2857,9,9,1,-2.5556,97.2,4.7143,7.3333,2.1971,7.3333,9.8889,5.4444,13.3474,13.3474,0.2045,6.6,15.6,11.1,15.6,15.6,15.6,11.1,15.6,15.6,15.6,11.1,15.6,15.6,17,,2,,7,0.7778,0.6429,,,,,,0.0714,
Keon Coleman,BUF,WR,33,Yes,No,No,13,2,No,Yes,2,1,0.1538,2,1,20,27,10,-7,1,2,2,1,-3.5,108.3,1.5385,10,5.2871,10,13.5,5,3.2314,3.2314,0.0606,2,4,3,4,4,4,3,4,4,4,3,4,4,13,,,,1,0.5,,,,,,,,
