Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TargetedReadFirstTotal
Ben Sims,GB,TE,6,No,No,No,5,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
DeAndre Carter,CHI,WR,5,No,Yes,Yes,5,,No,Yes,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.2,,,,,,,,,,,
Hunter Long,LA,TE,4,Yes,Yes,Yes,3,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
Kayshon Boutte,NE,WR,27,No,No,No,27,,No,Yes,,,,,,,,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.963,,,,,,,,,,,
Blake Watson,DEN,RB,1,No,No,No,1,1,No,Yes,1,1,1,,,,,,2,,,2,39.6,,,-6.3947,,,,1.4082,1.4082,1,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,
Dallin Holker,NO,TE,3,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,,,,,,,,,,,
Chris Brooks,GB,RB,3,No,No,No,2,1,No,Yes,,,0.5,,,,,,-2,,,-2,39.6,,,-6.198,,,,2.8667,2.8667,0.3333,,,,,,,,,,,,,,,13,,,1,,,,,,,,,
Christian Watson,GB,WR,18,No,No,No,18,,No,Yes,,,,,,,,,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7778,,,,,,,,,,,
Jonathon Brooks,CAR,RB,1,No,No,No,1,1,No,Yes,1,1,1,1,1,18,24,3,-6,,,-6,118.8,18,18,12.9107,18,24,3,1.4167,1.4167,1,1.8,2.8,2.3,3.3,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,3,,,1,1,2,2,,,,,,
Tom Kennedy,DET,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,
Sincere McCormick,LV,RB,1,No,No,No,1,1,No,Yes,1,1,1,1,1,2,,,2,,,2,79.2,2,2,-4.3947,2,,,1.256,1.256,1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,4,,,1,,,,,,,,,
K.J. Osborn,WAS,WR,7,No,No,Yes,7,,No,Yes,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5714,,,,,,,,,,,
Tyler Conklin,NYJ,TE,40,Yes,Yes,No,37,11,No,Yes,10,0.9091,0.2973,9,0.8182,49,60,19,-11,0.5946,0.3514,-1,85.2,1.3243,4.4545,-1.1161,5.4444,6.6667,2.1111,15.7803,15.7803,0.275,4.9,13.9,9.4,13.9,18.4,13.9,9.4,13.9,13.9,13.9,9.4,18.4,13.9,,16,0.0541,1,,1,1,0.1111,,,,,,
Justice Hill,BLT,RB,19,No,Yes,No,17,14,No,Yes,10,0.7143,0.8235,10,0.7143,87,92,27,-4,,,-0.2857,87.5,5.1176,6.2143,0.2139,8.7,9.2,2.7,23.8119,23.8119,0.7368,8.7,18.7,13.7,23.7,18.7,18.7,13.7,18.7,18.7,18.7,13.7,18.7,18.7,1,16,,,1,5,4,0.4,,,,,,
Anthony Firkser,KC,TE,2,Yes,Yes,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
James Conner,ARZ,RB,26,Yes,No,No,21,18,No,Yes,18,1,0.8571,18,1,125,132,57,-7,,,-0.3889,95.6,5.9524,6.9444,1.0495,6.9444,7.3333,3.1667,29.4208,29.4208,0.6923,12.5,30.5,21.5,39.5,30.5,33.5,24.5,30.5,30.5,30.5,21.5,30.5,30.5,2,16,,,1,3,7,0.3889,,,,,,
Jonathan Taylor,IND,RB,11,No,Yes,No,11,11,No,Yes,9,0.8182,1,7,0.6364,39,33,10,4,,,0.3636,69.9,3.5455,3.5455,-2.6071,5.5714,4.7143,1.4286,16.921,16.921,1,3.9,10.9,7.4,14.4,10.9,10.9,7.4,10.9,10.9,10.9,7.4,10.9,10.9,,14,,,1,1,,,1,0.0909,,,,
Troy Franklin,DEN,WR,30,Yes,No,No,29,1,No,Yes,1,1,0.0345,1,1,2,5,2,-3,,0.2069,-3,79.2,0.069,2,-2.9408,2,5,2,1.6549,1.6549,0.0333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,16,0.7931,,,,,,,,,,,
Javon Baker,NE,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,
Michael Pittman,IND,WR,21,No,Yes,No,21,,No,Yes,,,,,,,,,,,0.2381,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.7619,,,,,,,,,,,
Malik Washington,MIA,WR,12,Yes,Yes,No,10,,No,Yes,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3,,,,,,,,,,,
Tyler Goodson,IND,RB,7,No,Yes,No,7,5,No,Yes,5,1,0.7143,5,1,27,21,14,6,,,1.2,89.2,3.8571,5.4,-0.6575,5.4,4.2,2.8,7.1326,7.1326,0.7143,2.7,7.7,5.2,10.2,7.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,1,16,,,1,1,1,0.2,,,,,,
Jordan Mason,SF,RB,14,No,No,No,12,10,No,No,9,0.9,0.8333,9,0.9,61,39,13,26,,0.0833,2.6,92.1,5.0833,6.1,-0.4389,6.7778,4.3333,1.4444,15.4674,15.4674,0.7143,6.1,15.1,10.6,19.6,15.1,15.1,10.6,15.1,15.1,15.1,10.6,15.1,15.1,3,12,0.0833,,0.8333,3,2,0.2222,,,,,,
Tre Tucker,LV,WR,40,No,No,No,40,,No,No,,,,,,,,,,,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.575,,,,,,,,,,,
Grant DuBose,MIA,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
Tim Jones,JAX,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
Javonte Williams,DEN,RB,43,Yes,No,No,38,30,No,Yes,25,0.8333,0.7895,23,0.7667,147,116,43,35,0.1053,,1.1667,86.4,3.8684,4.9,-1.3047,6.3913,5.0435,1.8696,42.7026,42.7026,0.6977,14.7,37.7,26.2,49.2,37.7,40.7,29.2,37.7,37.7,37.7,26.2,37.7,37.7,,17,0.0263,1,0.8684,6,4,0.1739,1,0.0333,1,1,,
JaMycal Hasty,NE,RB,8,No,Yes,Yes,8,8,No,Yes,7,0.875,1,7,0.875,54,57,16,-3,,,-0.375,134.4,6.75,6.75,0.8777,7.7143,8.1429,2.2857,12.3563,12.3563,1,11.4,18.4,14.9,21.9,18.4,18.4,14.9,18.4,18.4,18.4,14.9,18.4,18.4,1,13,,,1,2,6,0.8571,,,,,1,
Greg Dortch,ARZ,WR,23,Yes,Yes,No,23,3,No,No,3,1,0.1304,3,1,17,26,16,-9,,0.7826,-3,90.3,0.7391,5.6667,0.7722,5.6667,8.6667,5.3333,6.4725,6.4725,0.1304,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,17,0.2174,,,1,2,0.6667,,,,,,
Tip Reiman,ARZ,TE,14,Yes,Yes,No,11,2,No,No,2,1,0.1818,2,1,6,4,1,2,0.9091,0.0909,1,79.2,0.5455,3,-2.8295,3,2,0.5,4.389,4.389,0.1429,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,17,,,,,1,0.5,,,,,,
Cam Akers,MIN,RB,8,No,No,No,7,5,No,Yes,5,1,0.7143,5,1,16,18,2,-2,,,-0.4,80,2.2857,3.2,-2.7842,3.2,3.6,0.4,7.521,7.521,0.625,1.6,6.6,4.1,9.1,6.6,6.6,4.1,6.6,6.6,6.6,4.1,6.6,6.6,,16,,1,1,,1,0.2,,,1,,,
Courtland Sutton,DEN,WR,55,Yes,No,No,55,,No,Yes,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9091,,,,,,,,,,,
Charlie Kolar,BLT,TE,3,No,No,Yes,3,,No,No,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,,,,,,,,,,,
Audric Estime,DEN,RB,2,Yes,No,No,2,2,No,Yes,2,1,1,2,1,13,14,6,-1,,,-0.5,93.8,6.5,6.5,0.677,6.5,7,3,4.5841,4.5841,1,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,13,,,1,1,,,,,,,,
Darnell Washington,PIT,TE,25,No,Yes,Yes,14,2,No,Yes,2,1,0.1429,2,1,24,23,21,1,0.9286,,0.5,116.7,1.7143,12,6.3643,12,11.5,10.5,2.9746,2.9746,0.08,2.4,4.4,3.4,4.4,5.4,4.4,3.4,4.4,4.4,4.4,3.4,5.4,4.4,,17,0.0714,,,1,2,1,,,,,,
Zach Ertz,WAS,TE,23,No,No,No,22,3,No,No,2,0.6667,0.1364,2,0.6667,9,9,2,5,0.2727,0.5909,1.6667,70.1,0.4091,3,-2.7778,4.5,4.5,1,4.6155,4.6155,0.1304,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,,17,0.0909,,0.0455,,,,,,,,,
Davis Allen,LA,TE,9,Yes,Yes,Yes,3,,No,Yes,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6667,,,,,,,,,,,
John Samuel Shenker,LV,TE,2,No,Yes,No,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,11,No,No,No,10,9,No,Yes,8,0.8889,0.9,6,0.6667,58,46,18,7,,,0.7778,121.5,5.8,6.4444,0.3376,9.6667,7.6667,3,13.9808,13.9808,0.8182,11.8,17.8,14.8,20.8,17.8,17.8,14.8,17.8,17.8,17.8,14.8,17.8,17.8,2,17,,1,1,4,4,0.6667,1,0.1111,,,1,
Odell Beckham,MIA,WR,3,Yes,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,1,1,1,,,0.3333,,79.2,0.3333,1,-5.0386,1,1,1,1.4832,1.4832,0.3333,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,9,0.6667,,,,,,,,,,,
D.J. Turner,LV,WR,14,No,Yes,No,14,3,No,Yes,2,0.6667,0.2143,2,0.6667,25,32,4,-9,,0.7143,-3,92.4,1.7857,8.3333,3.1964,12.5,16,2,4.3189,4.3189,0.2143,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,,12,0.2857,,,1,2,1,,,,,,
Dalton Kincaid,BUF,TE,21,No,No,No,21,4,No,No,2,0.5,0.1905,2,0.5,19,16,5,,0.5238,0.4286,,63.5,0.9048,4.75,-1.1807,9.5,8,2.5,5.8828,5.8828,0.1905,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,,13,0.0476,,,1,1,0.5,,,,,,
Jakobi Meyers,LV,WR,36,No,No,No,36,,No,No,,,,,,,,,,,0.2778,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7222,,,,,,,,,,,
Hunter Henry,NE,TE,30,No,Yes,Yes,28,3,No,Yes,3,1,0.1071,3,1,11,15,3,-4,0.4643,0.4643,-1.3333,81.9,0.3929,3.6667,-1.5154,3.6667,5,1,4.9061,4.9061,0.1,1.1,4.1,2.6,4.1,5.6,4.1,2.6,4.1,4.1,4.1,2.6,5.6,4.1,1,16,0.0714,,,,,,,,,,,
Nelson Agholor,BLT,WR,18,No,No,No,18,,No,Yes,,,,,,,,,,0.0556,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6111,,,,,,,,,,,
Gabe Davis,JAX,WR,21,No,No,No,21,1,No,Yes,,,0.0476,,,,,,,,0.1429,,39.6,,,-6.0386,,,,1.4339,1.4339,0.0476,,,,,,,,,,,,,,,10,0.8571,,,,,,,,,,,
Michael Wilson,ARZ,WR,45,Yes,No,No,45,,No,Yes,,,,,,,,,,,0.2889,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.7111,,,,,,,,,,,
Cody White,SEA,WR,4,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.75,,,,,,,,,,,
River Cracraft,MIA,WR,3,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,
DJ Chark,LAC,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,
Ian Thomas,CAR,TE,4,No,Yes,No,3,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Zay Flowers,BLT,WR,26,No,No,Yes,26,1,No,No,,,0.0385,,,,,,-4,,0.3846,-4,39.6,,,-4.4851,,,,1.65,1.65,0.0385,,,,,,,,,,,,,,1,17,0.6154,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,10,Yes,Yes,No,7,7,No,Yes,6,0.8571,1,6,0.8571,35,51,4,-15,,0.1429,-2.1429,87.5,5,5,-0.7261,5.8333,8.5,0.6667,9.8311,9.8311,0.7,3.5,9.5,6.5,12.5,9.5,9.5,6.5,9.5,9.5,9.5,6.5,9.5,9.5,,15,,1,0.8571,1,2,0.3333,,,1,,,
Stone Smartt,LAC,TE,4,No,No,No,4,,No,No,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
Eric Tomlinson,LAC,TE,5,No,No,No,5,2,No,Yes,2,1,0.4,2,1,9,12,5,-3,0.8,,-1.5,85.4,1.8,4.5,-1.0771,4.5,6,2.5,2.8994,2.8994,0.4,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,,9,0.2,,,,1,0.5,,,,,,
Xavier Hutchinson,HST,WR,20,No,Yes,No,20,,No,No,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.65,,,,,,,,,,,
Simi Fehoko,LAC,WR,10,No,Yes,No,10,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,
T.J. Hockenson,MIN,TE,11,No,No,No,11,,No,Yes,,,,,,,,,,0.8182,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0909,,,,,,,,,,,
Josh Reynolds,JAX,WR,14,No,Yes,No,14,,No,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.8571,,,,,,,,,,,
Noah Gray,KC,TE,19,Yes,No,No,17,3,No,Yes,3,1,0.1765,3,1,9,10,1,-1,0.4706,0.2941,-0.3333,79.2,0.5294,3,-2.8414,3,3.3333,0.3333,6.0257,6.0257,0.1579,0.9,3.9,2.4,3.9,5.4,3.9,2.4,3.9,3.9,3.9,2.4,5.4,3.9,,17,0.1765,,0.0588,,,,,,,,,
Brian Thomas,JAX,WR,34,No,Yes,No,34,,No,Yes,,,,,,,,,,,0.2059,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7941,,,,,,,,,,,
DeAndre Hopkins,KC,WR,19,No,Yes,No,19,,No,Yes,,,,,,,,,,,0.3158,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.6842,,,,,,,,,,,
Tim Patrick,DET,WR,16,No,No,No,16,1,No,Yes,1,1,0.0625,1,1,3,6,3,-3,,0.25,-3,79.2,0.1875,3,-1.9408,3,6,3,1.435,1.435,0.0625,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,16,0.75,,,,1,1,,,,,,
Devin Culp,TB,TE,1,Yes,Yes,No,1,1,No,Yes,1,1,1,1,1,9,4,2,5,,,5,104.2,9,9,2.52,9,4,2,1.4025,1.4025,1,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,5,1,,,,,,,,,,,
Tyrone Tracy,NYG,RB,17,No,Yes,No,16,12,No,Yes,10,0.8333,0.75,10,0.8333,69,57,17,17,,,1.4167,90.6,4.3125,5.75,-0.5232,6.9,5.7,1.7,18.5447,18.5447,0.7059,6.9,16.9,11.9,21.9,16.9,16.9,11.9,16.9,16.9,16.9,11.9,16.9,16.9,,17,,,1,3,2,0.2,,,,,,
Michael Mayer,LV,TE,15,No,No,No,14,1,No,No,1,1,0.0714,1,1,5,4,,1,0.5,0.3571,1,87.5,0.3571,5,-0.7754,5,4,,3.2558,3.2558,0.0667,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,1,11,0.1429,,,,,,,,,,,
Marvin Harrison,ARZ,WR,44,Yes,Yes,No,44,,No,No,,,,,,,,,,,0.2273,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7727,,,,,,,,,,,
Collin Johnson,CHI,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,13,No,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,7,4,,3,0.7778,0.2222,3,95.8,0.7778,7,0.6782,7,4,,1.251,1.251,0.0769,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,,,,,,,,,,
Rashee Rice,KC,WR,6,Yes,Yes,No,6,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,,,,,,,,,,,
Ty Chandler,MIN,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,,,,,,,,,
Austin Hooper,NE,TE,26,No,No,No,23,3,No,Yes,3,1,0.1304,3,1,30,39,9,-9,0.7391,0.1739,-3,108.3,1.3043,10,4.4397,10,13,3,4.0026,4.0026,0.1154,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,,17,0.087,,,2,2,0.6667,,,,,,
Justin Watson,KC,WR,19,Yes,No,No,19,,No,Yes,,,,,,,,,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8947,,,,,,,,,,,
Britain Covey,PHI,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,11,15,1,-4,,0.5,-4,112.5,5.5,11,6.5149,11,15,1,1.4911,1.4911,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,5,0.5,,,1,1,1,,,,,,
Jaylen Wright,MIA,RB,2,Yes,Yes,No,1,1,No,Yes,1,1,1,,,,,,-1,,,-1,39.6,,,-5.819,,,,1.3738,1.3738,0.5,,,,,,,,,,,,,,,15,,,1,,,,1,1,,,,
Ihmir Smith-Marsette,NYG,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
Jordan Addison,MIN,WR,18,No,No,No,17,2,No,Yes,2,1,0.1176,1,0.5,9,14,2,-10,,0.3529,-5,62.5,0.5294,4.5,0.3404,9,14,2,2.545,2.545,0.1111,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,15,0.6471,,,,1,1,1,0.5,,,,
Tyler Lockett,SEA,WR,37,Yes,Yes,Yes,37,,No,Yes,,,,,,,,,,,0.1081,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8919,,,,,,,,,,,
Keon Coleman,BUF,WR,13,No,No,No,13,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,24,Yes,No,No,23,,No,Yes,,,,,,,,,,,0.5217,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4783,,,,,,,,,,,
Kenneth Walker,SEA,RB,21,No,Yes,No,19,16,No,Yes,15,0.9375,0.8421,15,0.9375,131,147,39,-18,,,-1.125,100.8,6.8947,8.1875,2.3582,8.7333,9.8,2.6,23.056,23.056,0.7619,13.1,28.1,20.6,35.6,28.1,31.1,23.6,28.1,28.1,28.1,20.6,28.1,28.1,4,11,,,1,9,3,0.2,,,,,,
De'Von Achane,MIA,RB,20,Yes,Yes,No,17,9,No,Yes,9,1,0.5294,9,1,23,28,4,-5,,0.1765,-0.5556,116.2,1.3529,2.5556,-3.334,2.5556,3.1111,0.4444,16.7817,16.7817,0.45,8.3,17.3,12.8,21.8,17.3,17.3,12.8,17.3,17.3,17.3,12.8,17.3,17.3,1,17,0.2941,,0.5294,1,,,,,,,1,
Mike Evans,TB,WR,23,Yes,Yes,No,23,,No,Yes,,,,,,,,,,,0.2174,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.7826,,,,,,,,,,,
John FitzPatrick,GB,TE,1,No,No,No,1,1,No,Yes,1,1,1,1,1,2,,,2,1,,2,79.2,2,2,-4.3701,2,,,1.4542,1.4542,1,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,9,,,,,2,2,,,,,,
Sean Tucker,TB,RB,5,Yes,Yes,No,5,4,No,Yes,3,0.75,0.8,2,0.5,22,14,11,17,,,4.25,66.7,4.4,5.5,-1.4093,11,7,5.5,5.6285,5.6285,0.8,2.2,4.2,3.2,5.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,17,,1,1,1,1,0.5,,,,,,
Ramel Keyton,LV,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,
Zach Pascal,ARZ,WR,3,Yes,Yes,No,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6667,,,,,,,,,,,
Xavier Gipson,NYJ,WR,9,Yes,Yes,No,9,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,,
Cedrick Wilson,NO,WR,27,Yes,Yes,No,25,2,No,Yes,2,1,0.08,2,1,7,22,3,-15,,0.44,-7.5,81.3,0.28,3.5,0.9595,3.5,11,1.5,3.5024,3.5024,0.0741,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,15,0.56,,,,,,,,,,,
Tank Bigsby,JAX,RB,2,No,Yes,No,2,2,No,Yes,1,0.5,1,1,0.5,7,7,1,-4,,,-2,18.8,3.5,3.5,-2.1985,7,7,1,2.9505,2.9505,1,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,16,,,1,,,,,,,,,
Mike Woods,CLV,WR,13,No,No,No,13,,No,Yes,,,,,,,,,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.8462,,,,,,,,,,,
Jack Stoll,MIA,TE,4,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,12,No,No,No,11,1,No,No,1,1,0.0909,1,1,3,2,1,1,0.3636,0.5455,1,79.2,0.2727,3,-2.7754,3,2,1,1.5754,1.5754,0.0833,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,17,0.0909,,,,,,,,,,,
Nate Adkins,DEN,TE,15,Yes,No,No,10,3,No,Yes,3,1,0.3,3,1,18,15,4,3,0.8,0.1,1,91.7,1.8,6,-0.3955,6,5,1.3333,5.0386,5.0386,0.2,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,1,17,0.1,,,,,,,,,,,
Trent Taylor,SF,WR,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Malik Heath,GB,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.6667,,,,,,,,,,,
Mecole Hardman,KC,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6667,,,,,,,,,,,
Shane Zylstra,DET,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.25,,0.25,,,,,,,,,
Chris Conley,SF,WR,6,Yes,Yes,No,6,,No,No,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8333,,,,,,,,,,,
Travis Homer,CHI,RB,2,Yes,No,No,2,2,No,Yes,2,1,1,2,1,5,2,,3,,,1.5,79.2,2.5,2.5,-3.562,2.5,1,,2.7741,2.7741,1,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,9,,,1,,,,,,,,,
Jaelon Darden,SEA,WR,3,Yes,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,
Marquez Callaway,TB,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Puka Nacua,LA,WR,8,Yes,No,No,8,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5,,,,,,,,,,,
