Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadFirstTotal,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage
Deebo Samuel,SF,WR,67,No,Yes,Yes,67,14,No,Yes,9,0.6429,0.209,7,0.5,42,7,3,99,,0.2836,0.6119,7.0714,56.3,0.6269,3,-4.036,6,1,0.4286,21.9217,21.9217,0.209,4.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,15,9,2,,0.1429,2,1,0.1045,,,3,,1,,,,,
Devin Duvernay,JAX,WR,20,No,No,No,20,1,Yes,Yes,1,1,0.05,1,1,5,,,5,,0.8,0.2,5,87.5,0.25,5,-1.3628,5,,,1.4155,1.4155,0.05,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,13,1,,,,1,,,,,,,,,,,,
Mike Gesicki,CIN,TE,92,No,No,No,90,22,No,Yes,21,0.9545,0.2444,18,0.8182,143,45,18,126,0.0333,0.6667,0.3,5.7273,93.8,1.5889,6.5,-0.5012,7.9444,2.5,1,33.9507,33.9507,0.2391,13.3,31.3,22.3,31.3,40.3,34.3,24.3,30.3,30.3,30.3,21.3,40.3,30.3,17,17,2,,0.0909,7,2,,2,0.1111,4,,2,,,,,
Rhamondre Stevenson,NE,RB,54,No,No,No,43,2,No,No,1,0.5,0.0465,1,0.5,14,9,3,10,0.0698,0.0465,0.2558,5,72.9,0.3256,7,-0.233,14,9,3,3.2057,3.2057,0.037,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,15,2,,,,,1,0.6279,,,,,,,,,,
Nikko Remigio,KC,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,,,,,,12,0.3333,0.6667,,12,39.6,,,-9.0461,,,,1.4437,1.4437,0.3333,,,,,,,,,,,,,,5,,1,,1,,,,,,,,,,,,,
Brenton Strange,JAX,TE,61,No,No,No,53,14,Yes,Yes,11,0.7857,0.2642,9,0.6429,86,52,25,72,0.3019,0.5094,0.1698,5.1429,81.3,1.6226,6.1429,-0.6346,9.5556,5.7778,2.7778,25.4161,25.4161,0.2295,7.6,16.6,12.1,16.6,21.1,16.6,11.1,15.6,15.6,15.6,11.1,21.1,15.6,17,11,2,,0.1429,5,2,0.0189,1,0.1111,1,1,1,,,,,
Tyreek Hill,MIA,WR,80,No,No,Yes,78,23,No,Yes,21,0.913,0.2949,21,0.913,198,23,16,200,,0.3718,0.6282,8.6957,117,2.5385,8.6087,0.8826,9.4286,1.0952,0.7619,39.39,39.39,0.2875,25.8,46.8,36.3,46.8,46.8,49.8,39.3,46.8,46.8,46.8,36.3,46.8,46.8,17,17,,1,,14,2,,5,0.2381,2,1,2,,1,1,,
Demarcus Robinson,LA,WR,91,No,No,No,90,7,No,Yes,5,0.7143,0.0778,4,0.5714,36,11,5,45,,0.3444,0.6556,6.4286,71.1,0.4,5.1429,-1.6651,9,2.75,1.25,10.2316,10.2316,0.0769,3.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,17,5,,,,2,,,,,,,,,,,,
Travis Kelce,KC,TE,101,No,Yes,No,94,39,No,Yes,34,0.8718,0.4149,31,0.7949,240,69,18,253,0.3085,0.4574,0.2128,6.4872,81.6,2.5532,6.1538,-1.0615,7.7419,2.2258,0.5806,61.5122,61.5122,0.3861,24,55,39.5,55,70.5,58,42.5,55,55,55,39.5,70.5,55,16,27,2,1,0.0513,14,3,0.0213,1,0.0323,3,,2,,,,,
Cole Kmet,CHI,TE,88,No,No,Yes,76,13,No,Yes,13,1,0.1711,13,1,127,39,23,88,0.3026,0.6184,0.0789,6.7692,107.4,1.6711,9.7692,2.491,9.7692,3,1.7692,19.778,19.778,0.1477,12.7,25.7,19.2,25.7,32.2,28.7,22.2,25.7,25.7,25.7,19.2,32.2,25.7,17,6,,,,5,1,,1,0.0769,3,,3,,,,,
Zack Moss,CIN,RB,42,No,No,No,28,1,No,Yes,1,1,0.0357,1,1,4,4,3,,,0.0714,0.0357,,83.3,0.1429,4,-1.8271,4,4,3,1.4185,1.4185,0.0238,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,,,,,1,,0.8929,2,2,,,,,,,,
Kimani Vidal,LAC,RB,16,No,No,No,12,1,No,Yes,1,1,0.0833,1,1,10,7,1,3,0.0833,,0.1667,3,108.3,0.8333,10,3.4906,10,7,1,1.3699,1.3699,0.0625,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,10,1,,,,1,,0.75,,,,,,,,,,
Mason Tipton,NO,WR,31,No,No,No,31,5,No,Yes,4,0.8,0.1613,3,0.6,16,3,1,23,,0.2258,0.7742,4.6,65.4,0.5161,3.2,-3.0349,5.3333,1,0.3333,8.3129,8.3129,0.1613,1.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,11,5,,,,,,,,,,,,,,,,
Mike Williams,PIT,WR,41,No,No,No,39,7,No,Yes,7,1,0.1795,6,0.8571,34,6,4,33,,0.3077,0.6923,4.7143,86.9,0.8718,4.8571,-1.4533,5.6667,1,0.6667,10.1036,10.1036,0.1707,3.4,9.4,6.4,9.4,9.4,9.4,6.4,9.4,9.4,9.4,6.4,9.4,9.4,18,6,1,,0.1429,1,,,,,,,,1,,,,
Derius Davis,LAC,WR,13,No,No,No,13,,No,Yes,,,,,,,,,,,0.5385,0.3077,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,0.1538,,,,,,,,,,
Kylen Granson,IND,TE,39,No,No,No,38,6,Yes,Yes,4,0.6667,0.1579,2,0.3333,18,5,2,40,0.3947,0.5,0.1053,6.6667,2.8,0.4737,3,-3.8938,9,2.5,1,9.7308,9.7308,0.1538,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,17,2,,,,2,2,,,,2,,,,,,,
John Ross,PHI,WR,1,No,No,Yes,1,1,No,No,1,1,1,1,1,6,2,1,4,,,1,4,91.7,6,6,-0.0498,6,2,1,1.3584,1.3584,1,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1,,,,,1,,,,,,,,,,,,
Devin Thompkins,CAR,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,7,1,1,6,,0.3333,0.6667,6,95.8,2.3333,7,0.0509,7,1,1,1.3128,1.3128,0.3333,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,7,1,,,,1,,,,,,,,,,,,
Terrace Marshall,LV,WR,13,No,No,No,13,2,No,Yes,2,1,0.1538,2,1,13,2,,11,,0.2308,0.7692,5.5,93.8,1,6.5,-0.0571,6.5,1,,3.0399,3.0399,0.1538,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,7,2,,,,,,,,,,,,,,,,
Kenny Yeboah,NYJ,TE,5,No,No,Yes,3,,No,Yes,,,,,,,,,,0.6667,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,58,No,No,No,58,22,No,No,17,0.7727,0.3793,17,0.7727,238,91,57,202,,0.2241,0.7759,9.1818,73.7,4.1034,10.8182,2.8577,14,5.3529,3.3529,34.0571,34.0571,0.3793,23.8,40.8,32.3,40.8,40.8,43.8,35.3,40.8,40.8,40.8,32.3,40.8,40.8,13,17,,,,15,2,,3,0.1765,1,1,1,,,,,
Luke McCaffrey,WAS,WR,41,No,No,No,39,3,No,Yes,3,1,0.0769,3,1,22,5,2,17,,0.7949,0.2051,5.6667,97.2,0.5641,7.3333,1.0001,7.3333,1.6667,0.6667,3.9723,3.9723,0.0732,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,17,2,,,,1,,,,,,,,,,,,
Brock Wright,DET,TE,31,Yes,Yes,No,23,3,No,Yes,3,1,0.1304,3,1,23,10,4,13,0.8261,0.087,0.087,4.3333,98.6,1,7.6667,1.4622,7.6667,3.3333,1.3333,4.2063,4.2063,0.0968,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,17,,,,,1,1,,,,,,,,,,,
Deonte Harty,BLT,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Jamaal Williams,NO,RB,14,No,No,Yes,9,1,No,Yes,1,1,0.1111,1,1,5,5,1,,,0.1111,0.1111,,87.5,0.5556,5,-0.8271,5,5,1,3.6279,3.6279,0.0714,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,14,,,,,,,0.7778,,,,,,,,,,
Brandin Cooks,DAL,WR,49,No,No,No,49,18,No,Yes,12,0.6667,0.3673,9,0.5,82,7,2,163,,0.1837,0.8163,9.0556,62.7,1.6735,4.5556,-3.1828,9.1111,0.7778,0.2222,31.0218,31.0218,0.3673,8.2,17.2,12.7,17.2,17.2,17.2,12.7,17.2,17.2,17.2,12.7,17.2,17.2,10,12,1,,0.0556,7,,,,,2,,,,,,,
Ryan Miller,TB,WR,17,No,No,Yes,16,5,No,Yes,5,1,0.3125,4,0.8,38,8,4,34,,0.5,0.5,6.8,98.3,2.375,7.6,0.4924,9.5,2,1,7.1591,7.1591,0.2941,3.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,11,4,,,,4,,,1,0.25,2,,2,,,,,
Jalin Hyatt,NYG,WR,49,No,Yes,No,49,6,No,Yes,6,1,0.1224,5,0.8333,35,1,,42,,0.1429,0.8571,7,91,0.7143,5.8333,-1.1822,7,0.2,,10.7526,10.7526,0.1224,3.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,16,6,1,,0.1667,1,,,,,,,,,,,,
David Njoku,CLV,TE,74,No,No,No,71,25,No,No,24,0.96,0.3521,21,0.84,161,64,36,117,0.6197,0.2817,0.0845,4.68,93.5,2.2676,6.44,-0.1725,7.6667,3.0476,1.7143,37.3654,37.3654,0.3378,16.1,37.1,26.6,37.1,47.6,40.1,29.6,37.1,37.1,37.1,26.6,47.6,37.1,11,17,1,,0.04,8,2,0.0141,1,0.0476,2,2,,,,,,
Brock Bowers,LV,TE,103,No,No,No,98,24,No,Yes,22,0.9167,0.2449,19,0.7917,171,77,37,116,0.2245,0.602,0.1633,4.8333,79,1.7449,7.125,0.6822,9,4.0526,1.9474,37.3319,37.3319,0.233,17.1,36.1,26.6,36.1,45.6,39.1,29.6,36.1,36.1,36.1,26.6,45.6,36.1,17,15,2,,0.0833,10,2,0.0102,3,0.1579,2,1,1,,,,,
Isaac Guerendo,SF,RB,9,No,No,No,7,1,Yes,Yes,1,1,0.1429,1,1,12,8,5,4,,,,4,116.7,1.7143,12,5.3381,12,8,5,1.5097,1.5097,0.1111,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,16,,,,,1,,1,,,,,,,,,,
Craig Reynolds,DET,RB,6,Yes,Yes,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,0.75,,,,,,,,,,
Johnny Mundt,MIN,TE,24,Yes,Yes,No,23,4,No,Yes,4,1,0.1739,4,1,22,8,3,18,0.5652,0.2609,0.1739,4.5,129.2,0.9565,5.5,-0.9408,5.5,2,0.75,10.4292,10.4292,0.1667,14.2,18.2,16.2,18.2,20.2,18.2,16.2,18.2,18.2,18.2,16.2,20.2,18.2,17,1,,,,3,2,,,,,2,,,2,2,,
Durham Smythe,MIA,TE,13,No,No,Yes,10,2,No,Yes,2,1,0.2,2,1,11,2,1,9,0.2,0.8,,4.5,89.6,1.1,5.5,-1.2074,5.5,1,0.5,4.2016,4.2016,0.1538,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,17,1,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,52,No,No,No,52,17,No,Yes,17,1,0.3269,14,0.8235,147,50,5,111,,0.2308,0.7692,6.5294,102.7,2.8269,8.6471,1.9548,10.5,3.5714,0.3571,24.9143,24.9143,0.3269,14.7,28.7,21.7,28.7,28.7,31.7,24.7,28.7,28.7,28.7,21.7,28.7,28.7,16,15,3,1,0.1765,5,,,4,0.2857,,,,,,,,
J.J. Taylor,HST,RB,3,Yes,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,2,,,2,,,0.3333,2,79.2,0.6667,2,-4.3947,2,,,1.4082,1.4082,0.3333,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,4,1,,,,,,0.6667,,,,,,,,,,
Justin Jefferson,MIN,WR,83,Yes,Yes,No,83,28,No,Yes,24,0.8571,0.3373,22,0.7857,208,45,24,223,,0.253,0.7108,7.9643,94.6,2.506,7.4286,-0.0123,9.4545,2.0455,1.0909,46.5519,46.5519,0.3373,26.8,48.8,37.8,48.8,48.8,51.8,40.8,48.8,48.8,48.8,37.8,48.8,48.8,17,19,1,,0.0357,9,4,0.0361,1,0.0455,6,1,4,,1,1,,
Rashid Shaheed,NO,WR,21,No,Yes,No,21,8,No,Yes,7,0.875,0.381,6,0.75,56,11,3,68,,0.0952,0.9048,8.5,93.8,2.6667,7,-0.6188,9.3333,1.8333,0.5,11.8796,11.8796,0.381,5.6,11.6,8.6,11.6,11.6,11.6,8.6,11.6,11.6,11.6,8.6,11.6,11.6,6,6,,,,3,,,,,1,,,,,,,
Greg Dulcich,NYG,TE,20,No,Yes,No,19,2,No,Yes,2,1,0.1053,1,0.5,7,1,1,11,0.2105,0.5789,0.2105,5.5,58.3,0.3684,3.5,-3.2865,7,1,1,3.0623,3.0623,0.1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,9,2,1,,0.5,,,,,,,,,,,,,
Tony Pollard,TEN,RB,62,No,No,No,50,9,No,Yes,8,0.8889,0.18,6,0.6667,36,15,15,38,,0.1,0.08,4.2222,34.7,0.72,4,-2.7432,6,2.5,2.5,12.9259,12.9259,0.1452,3.6,9.6,6.6,12.6,9.6,9.6,6.6,9.6,9.6,9.6,6.6,9.6,9.6,16,6,2,,0.2222,1,,0.82,2,0.3333,1,,1,,,,,
Romeo Doubs,GB,WR,37,No,Yes,No,37,4,No,Yes,4,1,0.1081,4,1,33,9,6,24,,0.0541,0.9459,6,101,0.8919,8.25,1.4735,8.25,2.25,1.5,5.541,5.541,0.1081,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,13,4,,,,1,,,,,,,,,,,,
Ray Davis,BUF,RB,15,No,Yes,No,14,2,No,Yes,2,1,0.1429,2,1,3,7,6,-4,0.0714,0.0714,0.0714,-2,79.2,0.2143,1.5,-4.0191,1.5,3.5,3,2.6423,2.6423,0.1333,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,17,,,,,,,0.7857,1,0.5,,,,,,,,
DeeJay Dallas,ARZ,RB,6,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,1,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,42,No,No,No,38,7,No,Yes,5,0.7143,0.1842,5,0.7143,34,12,10,37,,0.3684,0.6316,5.2857,81.8,0.8947,4.8571,-1.581,6.8,2.4,2,10.3404,10.3404,0.1667,3.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,14,5,,,,2,,,1,0.2,1,,1,,,,,
Ladd McConkey,LAC,WR,80,No,No,No,79,25,No,Yes,23,0.92,0.3165,21,0.84,257,93,34,202,0.0127,0.7215,0.2658,8.08,122.8,3.2532,10.28,2.72,12.2381,4.4286,1.619,40.6329,40.6329,0.3125,31.7,52.7,42.2,52.7,52.7,55.7,45.2,52.7,52.7,52.7,42.2,52.7,52.7,16,16,1,,0.04,13,1,,4,0.1905,4,1,2,,1,1,,
Alex Bachman,LV,WR,3,No,Yes,Yes,3,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,8,No,No,No,8,,No,No,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Kendric Pryor,CIN,WR,1,No,No,No,1,1,No,Yes,1,1,1,1,1,9,-1,-1,10,,,1,10,104.2,9,9,1.5,9,-1,-1,1.9113,1.9113,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,2,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,68,No,No,No,66,22,No,Yes,20,0.9091,0.3333,20,0.9091,163,69,35,117,0.303,0.5303,0.1667,5.3182,78.6,2.4697,7.4091,0.0478,8.15,3.45,1.75,32.7437,32.7437,0.3235,16.3,36.3,26.3,36.3,46.3,39.3,29.3,36.3,36.3,36.3,26.3,46.3,36.3,17,15,,,,5,1,,4,0.2,3,1,3,,,,,
Gerald Everett,CHI,TE,22,No,No,Yes,17,1,No,Yes,1,1,0.0588,1,1,17,10,9,7,0.1176,0.4118,0.3529,7,118.8,1,17,9.6922,17,10,9,1.5154,1.5154,0.0455,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,17,,,,,1,,0.1176,1,1,,,,,,,,
Lucas Krull,DEN,TE,36,No,No,No,35,10,No,Yes,9,0.9,0.2857,9,0.9,69,33,10,40,0.4,0.4857,0.1143,4,95.4,1.9714,6.9,0.5459,7.6667,3.6667,1.1111,14.0961,14.0961,0.2778,6.9,15.9,11.4,15.9,20.4,15.9,11.4,15.9,15.9,15.9,11.4,20.4,15.9,13,4,,,,3,,,1,0.1111,,,,,,,,
Tyler Johnson,LA,WR,37,No,No,No,37,12,No,Yes,11,0.9167,0.3243,10,0.8333,75,35,16,61,,0.2432,0.7568,5.0833,92.7,2.027,6.25,0.0532,7.5,3.5,1.6,19.4738,19.4738,0.3243,7.5,17.5,12.5,17.5,17.5,17.5,12.5,17.5,17.5,17.5,12.5,17.5,17.5,15,3,,,,3,2,,,,1,,,,,,,
C.J. Uzomah,PHI,TE,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,57,No,No,Yes,49,13,No,Yes,12,0.9231,0.2653,11,0.8462,113,59,26,85,0.1837,0.6735,0.1429,6.5385,102.9,2.3061,8.6923,1.6103,10.2727,5.3636,2.3636,20.2195,20.2195,0.2281,11.3,22.3,16.8,22.3,27.8,25.3,19.8,22.3,22.3,22.3,16.8,27.8,22.3,16,9,,,,8,3,,2,0.1818,1,1,,,,,,
Dalton Schultz,HST,TE,68,No,No,No,62,19,No,Yes,19,1,0.3065,15,0.7895,111,49,25,72,0.6613,0.1452,0.0968,3.7895,108.6,1.7903,5.8421,-0.9607,7.4,3.2667,1.6667,32.0521,32.0521,0.2794,17.1,32.1,24.6,32.1,39.6,35.1,27.6,32.1,32.1,32.1,24.6,39.6,32.1,17,10,3,,0.1579,6,2,0.0968,2,0.1333,,1,,,1,1,,
Anthony Gould,IND,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,61,No,No,No,54,8,Yes,Yes,8,1,0.1481,8,1,75,26,11,58,0.537,0.3519,0.1111,7.25,145.3,1.3889,9.375,2.1909,9.375,3.25,1.375,13.7677,13.7677,0.1311,13.5,21.5,17.5,21.5,25.5,21.5,17.5,21.5,21.5,21.5,17.5,25.5,21.5,15,4,,,,5,3,,,,1,1,1,,1,1,,
Keenan Allen,CHI,WR,85,No,No,Yes,84,23,No,Yes,19,0.8261,0.2738,16,0.6957,132,34,11,161,,0.5119,0.4881,7,84,1.5714,5.7391,-1.2601,8.25,2.125,0.6875,35.9802,35.9802,0.2706,13.2,29.2,21.2,29.2,29.2,32.2,24.2,29.2,29.2,29.2,21.2,29.2,29.2,15,17,3,1,0.1304,9,1,,,,1,,,,,,,
James Cook,BUF,RB,33,No,Yes,No,32,1,No,Yes,1,1,0.0312,1,1,9,4,,5,,0.0625,0.0312,5,104.2,0.2812,9,1.767,9,4,,1.3446,1.3446,0.0303,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,16,,,,,,,0.9062,,,,,,,,,,
Treylon Burks,TEN,WR,7,No,No,No,6,2,No,Yes,2,1,0.3333,1,0.5,9,5,4,7,,0.3333,0.6667,3.5,62.5,1.5,4.5,-1.2498,9,5,4,2.6279,2.6279,0.2857,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,5,2,,,,1,,,,,1,,,,,,,
Ja'Lynn Polk,NE,WR,37,No,No,No,36,9,No,No,8,0.8889,0.25,5,0.5556,41,1,1,67,,0.25,0.75,7.4444,67.4,1.1389,4.5556,-2.6065,8.2,0.2,0.2,12.1693,12.1693,0.2432,4.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,15,8,2,,0.2222,1,,,,,3,,1,1,,,,
Jared Wiley,KC,TE,5,No,Yes,Yes,4,1,Yes,Yes,1,1,0.25,1,1,7,3,2,4,0.5,0.25,0.25,4,95.8,1.75,7,0.9333,7,3,2,1.4343,1.4343,0.2,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,7,1,,,,,,,,,,,,,,,,
Jordan Akins,CLV,TE,61,No,No,Yes,60,11,No,Yes,10,0.9091,0.1833,9,0.8182,65,17,9,55,0.4167,0.4333,0.15,5,53.4,1.0833,5.9091,-0.6532,7.2222,1.8889,1,17.8416,17.8416,0.1803,6.5,15.5,11,15.5,20,15.5,11,15.5,15.5,15.5,11,20,15.5,17,5,1,,0.0909,3,,,,,,,,,,,,
Nick Vannett,TEN,TE,24,No,No,No,18,2,No,Yes,2,1,0.1111,2,1,30,13,6,17,0.7778,0.1667,0.0556,8.5,118.8,1.6667,15,7.427,15,6.5,3,2.9537,2.9537,0.0833,3,5,4,5,6,5,4,5,5,5,4,6,5,17,1,,,,1,,,,,1,,1,,,,,
Peyton Hendershot,KC,TE,7,No,No,No,5,3,No,Yes,3,1,0.6,3,1,36,18,10,18,0.4,0.2,0.4,6,116.7,7.2,12,4.9571,12,6,3.3333,4.9148,4.9148,0.4286,3.6,6.6,5.1,6.6,8.1,6.6,5.1,6.6,6.6,6.6,5.1,8.1,6.6,7,1,,,,2,1,,,,1,,1,,,,,
CeeDee Lamb,DAL,WR,88,No,No,No,88,28,No,No,25,0.8929,0.3182,24,0.8571,224,66,57,197,,0.4545,0.5455,7.0357,100,2.5455,8,0.958,9.3333,2.75,2.375,43.0376,43.0376,0.3182,22.4,46.4,34.4,46.4,46.4,49.4,37.4,46.4,46.4,46.4,34.4,46.4,46.4,16,21,1,,0.0357,10,1,,6,0.25,5,,4,,,,,
Noah Fant,SEA,TE,95,No,No,No,93,20,No,Yes,18,0.9,0.2151,18,0.9,187,93,42,108,0.2366,0.5269,0.2258,5.4,84.8,2.0108,9.35,2.6886,10.3889,5.1667,2.3333,33.1517,33.1517,0.2105,18.7,36.7,27.7,36.7,45.7,39.7,30.7,36.7,36.7,36.7,27.7,45.7,36.7,14,16,,,,9,,0.0108,5,0.2778,,,,,,,,
Isaiah Davis,NYJ,RB,5,No,No,Yes,5,1,No,Yes,1,1,0.2,,,,,,20,,,0.2,20,39.6,,,-10.2619,,,,3.9048,3.9048,0.2,,,,,,,,,,,,,,13,,1,1,1,,1,0.8,,,,1,,,,,,
Colby Parkinson,LA,TE,61,No,No,No,56,11,No,Yes,8,0.7273,0.1964,7,0.6364,61,26,7,58,0.7679,0.1786,0.0536,5.2727,78.2,1.0893,5.5455,-1.1164,8.7143,3.7143,1,15.7443,15.7443,0.1803,6.1,13.1,9.6,13.1,16.6,13.1,9.6,13.1,13.1,13.1,9.6,16.6,13.1,17,5,,,,2,,,,,1,,,,,,,
Brenden Bates,CLV,TE,2,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,94,No,No,Yes,92,23,No,Yes,18,0.7826,0.25,16,0.6957,220,67,36,227,,0.3804,0.6087,9.8696,99.9,2.3913,9.5652,1.435,13.75,4.1875,2.25,36.7547,36.7547,0.2447,22,38,30,38,38,41,33,38,38,38,30,38,38,17,13,1,,0.0435,10,,0.0109,2,0.125,3,,2,1,,,,
D.J. Moore,CHI,WR,101,No,No,Yes,101,32,No,Yes,26,0.8125,0.3168,23,0.7188,197,71,29,234,,0.3366,0.6634,7.3125,87.6,1.9505,6.1562,-1.1826,8.5652,3.087,1.2609,56.0769,56.0769,0.3168,18.7,41.7,30.2,41.7,41.7,44.7,32.2,40.7,40.7,40.7,29.2,41.7,40.7,17,23,2,1,0.0625,8,,,4,0.1739,3,,2,,,,,
Bucky Irving,TB,RB,34,No,No,Yes,29,2,No,Yes,2,1,0.069,2,1,1,11,3,-10,,0.069,0.3103,-5,79.2,0.0345,0.5,-4.8634,0.5,5.5,1.5,3.7657,3.7657,0.0588,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,17,2,,,,,1,0.6207,,,1,,1,,,,1,0.5
