player,position,team
Michael Penix,QB,ATL
Luther Burden,WR,CHI
Juju Smith-Schuster,WR,NYG
Anthony Richardson,QB,IND
Chris Godwin,WR,TB
Mecole Hardman,WR,BUF
Albert Okwuegbunam,TE,LV
Gardner Minshew,QB,ARI
James Cook,RB,BUF
Tre Harris,WR,LAC
Erick All,TE,CIN
John Metchie,WR,CAR
Aaron Jones,RB,MIN
Chris Brazzell,WR,CAR
Calvin Austin,WR,NYG
Oronde Gadsden II,TE,LAC
Deejay Dallas,RB,JAX
Ollie Gordon,RB,MIA
Seth Mcgowan,RB,IND
Stetson Bennett,QB,LAR
LeQuint Allen,RB,JAX
Thomas Fidone,TE,NYG
Keandre Lambert-Smith,WR,LAC
Ricky White,WR,SEA
Joe Milton,QB,DAL
Michael Woods,WR,DEN
Jimmy Horn,WR,CAR
Tanner Mckee,QB,PHI
