Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,YardsAfterContactTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DeepTargetTargetsTotal,ReceptionsHero,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone
Justice Hill,BLT,RB,7,No,No,Yes,6,5,No,Yes,5,1,0.8333,4,0.8,32,30,-1,0.8333,-0.2,93.3,5.3333,6.4,0.1422,8,7.5,7.0096,7.0096,0.7143,3.2,7.2,5.2,9.2,7.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,10,0.1667,3,,2,2,0.4,0.75,1,2,0.5,,0.2,,,,,1,,1,,
George Holani,SEA,RB,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,5,No,No,No,3,,No,No,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.3333,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,11,No,No,No,10,4,No,Yes,4,1,0.4,3,0.75,54,16,60,,15,156.3,5.4,13.5,4.3734,18,5.3333,6.8853,6.8853,0.3636,11.4,14.4,12.9,14.4,14.4,14.4,12.9,14.4,14.4,14.4,12.9,14.4,14.4,10,0.6,2,0.4,3,,,0.6667,1,,,,0.25,,2,2,,1,,1,1,
Zach Ertz,WAS,TE,15,Yes,Yes,Yes,14,4,Yes,Yes,4,1,0.2857,2,0.5,18,2,34,,8.5,62.5,1.2857,4.5,-3.4715,9,1,6.1124,6.1124,0.2667,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,13,0.4286,,0.2143,1,,,,2,,,0.3571,0.5,,2,,,1,,1,,
Darnell Washington,PIT,TE,11,No,No,No,8,2,No,Yes,2,1,0.25,2,1,15,6,9,,4.5,97.9,1.875,7.5,1.2266,7.5,3,3.3428,3.3428,0.1818,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,16,0.125,3,0.125,2,,,1.5,,,,0.75,,1,1,,,1,,1,,
Audric Estime,NO,RB,2,No,Yes,Yes,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,5,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,1,,,,,,,,,,
Davis Allen,LA,TE,14,No,Yes,No,10,4,No,Yes,4,1,0.4,2,0.5,6,13,7,,1.75,56.3,0.6,1.5,-5.3014,3,6.5,5.3915,5.3915,0.2857,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,17,0.1,1,0.3,2,,,0.5,1,,,0.6,0.25,,,,,2,,1,,
Courtland Sutton,DEN,WR,23,No,Yes,No,21,6,No,Yes,6,1,0.2857,2,0.3333,10,3,66,,11,42.4,0.4762,1.6667,-6.6771,5,1.5,10.0775,10.0775,0.2609,1,3,2,3,3,3,2,3,3,3,2,3,3,17,0.2381,1,0.7619,5,,,0.5,2,,,,0.3333,1,1,1,,2,1,,,
Javonte Williams,DAL,RB,21,No,No,No,11,1,No,Yes,1,1,0.0909,,,,,3,0.9091,3,39.6,,,-6.5094,,,1.474,1.474,0.0476,,,,,,,,,,,,,,16,0.0909,,,,,,,1,,,,1,,,,,1,,,,
Greg Dortch,ARZ,WR,7,No,No,No,7,1,No,Yes,1,1,0.1429,,,,,5,,5,39.6,,,-6.3628,,,1.347,1.347,0.1429,,,,,,,,,,,,,,12,0.5714,,0.4286,1,,,,1,,,,1,,,,,1,,,,
Tip Reiman,ARZ,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,
Malik Washington,MIA,WR,19,No,No,No,16,2,No,Yes,2,1,0.125,,,,,29,,14.5,39.6,,,-9.1595,,,4.4196,4.4196,0.1053,,,,,,,,,,,,,,17,0.375,,0.625,2,,,,1,,,,0.5,1,,1,,1,,,,
Michael Pittman,IND,WR,15,Yes,Yes,Yes,15,4,Yes,Yes,4,1,0.2667,2,0.5,15,5,21,,5.25,19.8,1,3.75,-2.71,7.5,2.5,5.9127,5.9127,0.2667,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,17,0.2,3,0.8,4,,,1.5,,,,,,,,,,3,,1,,
Tyrell Shavers,BUF,WR,3,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,0.5,,,,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,2,Yes,Yes,Yes,2,1,Yes,Yes,1,1,0.5,1,1,,1,-1,1,-1,79.2,,,-5.819,,1,1.5446,1.5446,0.5,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,11,,1,,1,,,1,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,7,No,No,No,4,1,No,No,1,1,0.25,1,1,1,1,,1,,79.2,0.25,1,-4.8271,1,1,1.8273,1.8273,0.1429,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,16,,4,,,,,4,,,,,,1,,,,,,,,
Tre Tucker,LV,WR,15,Yes,No,No,14,4,Yes,Yes,4,1,0.2857,1,0.25,6,2,41,,10.25,39.6,0.4286,1.5,-6.9613,6,2,5.8508,5.8508,0.2667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,0.1429,,0.8571,3,,,,1,,,,0.25,1,,,,2,,,,
Jonathan Taylor,IND,RB,14,Yes,Yes,Yes,11,3,Yes,Yes,3,1,0.2727,2,0.6667,21,24,-7,0.8182,-2.3333,86.8,1.9091,7,1.0548,10.5,12,4.522,4.522,0.2143,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,17,0.1818,3,,1,1,0.3333,1.5,1,,,,0.3333,,1,,,,,,,
Troy Franklin,DEN,WR,19,No,Yes,No,15,3,No,Yes,3,1,0.2,1,0.3333,20,1,39,,13,57.6,1.3333,6.6667,-2.9015,20,1,9.3381,9.3381,0.1579,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,17,0.2667,1,0.7333,3,,,1,1,,,,0.3333,1,1,,,1,,,,
Brian Thomas,JAX,WR,20,No,Yes,No,19,3,No,Yes,3,1,0.1579,,,,,48,,16,,,,-10.0837,,,6.0179,6.0179,0.15,,,,,,,,,,,,,,14,0.3158,,0.6842,2,,,,1,,,,0.3333,,,1,,1,,,,
Josh Reynolds,NYJ,WR,3,No,No,Yes,3,1,Yes,Yes,1,1,0.3333,,,,,21,,21,39.6,,,-11.2393,,,1.2688,1.2688,0.3333,,,,,,,,,,,,,,5,,,1,1,,,,,,,,,,,1,,1,,,,
Noah Gray,KC,TE,6,Yes,No,No,4,3,Yes,Yes,3,1,0.75,1,0.3333,13,,22,,7.3333,47.9,3.25,4.3333,-3.4869,13,,6.1411,6.1411,0.5,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,16,0.25,,,2,,,,2,,,0.75,0.6667,,1,,,1,,1,,
Chimere Dike,TEN,WR,10,No,Yes,No,9,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8889,,0.1111,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,BLT,WR,4,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,4,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.3333,,0.6667,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,18,No,No,No,14,5,No,Yes,5,1,0.3571,2,0.4,9,4,37,,7.4,47.9,0.6429,1.8,-5.6438,4.5,2,8.5822,8.5822,0.2778,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,15,0.5714,,0.0714,4,,,,2,,,0.3571,0.4,1,,1,,,1,,,
Stone Smartt,NYJ,TE,2,No,No,No,1,1,No,No,1,1,1,1,1,5,,5,,5,87.5,5,5,-1.48,5,,1.347,1.347,0.5,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,8,1,,,1,,,,,,,,,,,,,1,,1,,
Xavier Hutchinson,HST,WR,15,Yes,Yes,Yes,15,3,Yes,Yes,3,1,0.2,2,0.6667,21,,63,,21,86.8,1.4,7,-3.4497,10.5,,6.5173,6.5173,0.2,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,17,0.2,,0.8,3,,,,,,,,,1,1,1,,2,,1,,
Michael Wilson,ARZ,WR,15,No,Yes,No,14,2,No,Yes,2,1,0.1429,2,1,22,17,5,,2.5,112.5,1.5714,11,5.6078,11,8.5,2.6223,2.6223,0.1333,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,17,0.3571,8,0.6429,,,,4,,,,,,,1,,,,,,,
Ian Thomas,LV,TE,4,Yes,No,No,4,1,Yes,Yes,1,1,0.25,1,1,8,10,-2,,-2,100,2,8,3.1489,8,10,1.5361,1.5361,0.25,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,15,,2,,,,,2,,,,1,,,,,,,,,,
Zay Flowers,BLT,WR,15,No,No,No,15,5,No,Yes,5,1,0.3333,2,0.4,25,9,57,,11.4,56.3,1.6667,5,-3.777,12.5,4.5,8.6992,8.6992,0.3333,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,17,0.6667,3,0.3333,5,1,0.2,1.5,2,,,,0.4,1,1,1,,1,1,,,
Zavier Scott,MIN,RB,2,No,No,No,1,1,No,No,1,1,1,1,1,4,6,-2,,-2,83.3,4,4,-2.198,4,6,1.4872,1.4872,0.5,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,11,,4,1,1,1,1,4,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,7,Yes,No,No,5,,No,Yes,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,17,0.4,,0.2,,,,,,,,,,,,,,,,,,
Cody White,SEA,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE,9,No,No,No,7,2,No,Yes,2,1,0.2857,,,,,7,,3.5,39.6,,,-6.4342,,,6.0459,6.0459,0.2222,,,,,,,,,,,,,,17,0.8571,,,1,,,,2,,,0.1429,1,1,,,,1,1,,,
Dalton Kincaid,BUF,TE,7,No,No,No,5,3,No,No,3,1,0.6,3,1,35,17,18,,6,154.9,7,11.6667,4.0763,11.6667,5.6667,6.5239,6.5239,0.4286,9.5,12.5,11,12.5,14,12.5,11,12.5,12.5,12.5,11,14,12.5,12,0.4,9,0.4,2,1,0.3333,3,,1,0.3333,0.2,,1,1,,,,,,1,
Jakobi Meyers,JAX,WR,15,No,Yes,No,14,4,No,Yes,4,1,0.2857,2,0.5,18,-1,55,,13.75,62.5,1.2857,4.5,-4.1894,9,-0.5,6.1759,6.1759,0.2667,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,16,0.3571,,0.6429,2,,,,,,,,,,1,1,,2,,,,
Jaylen Wright,MIA,RB,4,No,No,No,4,,No,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,10,0.5,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,5,Yes,Yes,Yes,4,2,Yes,Yes,2,1,0.5,2,1,28,27,1,0.25,0.5,118.8,7,14,8.5047,14,13.5,2.972,2.972,0.4,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,8,0.25,2,0.5,2,,,1,,1,0.5,,,,2,,,,,,,
Austin Hooper,NE,TE,6,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,10,2,17,,8.5,127.1,1.6667,5,-2.573,5,1,4.4755,4.4755,0.3333,7,9,8,9,10,9,8,9,9,9,8,10,9,16,0.1667,1,0.3333,2,,,0.5,,,,0.5,,1,2,,1,1,1,1,1,1
Ollie Gordon,MIA,RB,2,No,No,No,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,6,Yes,Yes,Yes,3,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,1,,,,,,,,,,
Tyrone Tracy,NYG,RB,10,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,4,7,-3,0.8571,-3,83.3,0.5714,4,-2.1191,4,7,1.4407,1.4407,0.1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,15,,5,0.1429,,,,5,,1,1,,,,1,,,,,,,
Michael Mayer,LV,TE,4,Yes,No,No,3,2,Yes,Yes,2,1,0.6667,2,1,3,1,2,,1,79.2,1,1.5,-4.3295,1.5,0.5,4.4019,4.4019,0.5,0.3,2.3,1.3,2.3,3.3,2.3,1.3,2.3,2.3,2.3,1.3,3.3,2.3,13,,1,,1,,,0.5,,1,0.5,1,,1,,,,1,,1,,
Ben Yurosek,MIN,TE,1,No,No,No,1,1,No,No,1,1,1,,,,,6,,6,39.6,,,-7.093,,,1.406,1.406,1,,,,,,,,,,,,,,12,,,,1,,,,1,,,1,1,,,,,,,,,
Marvin Harrison,ARZ,WR,9,No,No,No,8,5,No,Yes,5,1,0.625,4,0.8,37,2,48,,9.6,97.5,4.625,7.4,-0.4256,9.25,0.5,8.8399,8.8399,0.5556,3.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,12,0.125,,0.875,4,,,,1,,,,0.2,1,1,1,1,1,1,1,,
Cedrick Wilson,MIA,WR,6,No,No,No,4,1,No,Yes,1,1,0.25,1,1,8,4,4,,4,100,2,8,1.9502,8,4,1.253,1.253,0.1667,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,10,0.25,1,0.75,1,,,1,,,,,,,,,,1,,1,,
John FitzPatrick,GB,TE,5,No,No,No,4,1,No,No,1,1,0.25,1,1,6,8,-2,,-2,91.7,1.5,6,1.1489,6,8,1.5449,1.5449,0.2,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,15,,2,0.25,,,,2,,,,0.75,,,1,,,,,,,
Brashard Smith,KC,RB,4,Yes,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,6,,6,1,6,91.7,2,6,-1.7086,6,,2.2874,2.2874,0.25,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,,,,,,,,,,,,1,,,,,,,,
Sean Tucker,TB,RB,3,No,Yes,No,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,9,No,Yes,No,9,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5556,,0.4444,,,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,7,No,No,No,7,1,Yes,Yes,1,1,0.1429,1,1,2,,2,0.7143,2,79.2,0.2857,2,-4.3947,2,,1.1965,1.1965,0.1429,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,0.2857,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,16,No,No,Yes,13,5,Yes,Yes,5,1,0.3846,3,0.6,31,35,-4,0.7692,-0.8,77.9,2.3846,6.2,-0.049,10.3333,11.6667,8.7515,8.7515,0.3125,3.1,6.1,4.6,7.6,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,16,0.2308,2,,1,1,0.2,0.6667,2,1,0.3333,,0.4,1,2,,,,,,,
Mike Evans,TB,WR,5,No,Yes,No,5,3,No,Yes,3,1,0.6,1,0.3333,8,1,29,,9.6667,42.4,1.6,2.6667,-5.3696,8,1,6.0413,6.0413,0.6,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,8,0.2,,0.8,3,,,,1,,,,0.3333,1,1,,,1,,,,
Tyler Lockett,LV,WR,17,Yes,No,No,16,2,Yes,Yes,2,1,0.125,1,0.5,4,5,2,,1,56.3,0.25,2,-3.8099,4,5,6.9618,6.9618,0.1176,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,0.75,2,0.25,2,1,0.5,2,1,,,,0.5,,,,,,,,,
Jordan Addison,MIN,WR,13,No,No,No,12,4,No,No,4,1,0.3333,2,0.5,9,2,51,,12.75,56.3,0.75,2.25,-6.1364,4.5,1,6.7938,6.7938,0.3077,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,14,0.4167,2,0.5833,3,,,1,2,1,0.5,,0.5,,,1,,1,,1,,
Lil'Jordan Humphrey,DEN,WR,8,No,Yes,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.2857,,0.7143,,,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,7,No,No,No,5,1,No,No,1,1,0.2,1,1,10,,17,,17,147.9,2,10,-1.6653,10,,4.9651,4.9651,0.1429,7,8,7.5,8,8,8,7.5,8,8,8,7.5,8,8,13,0.2,,0.8,,,,,,,,,,1,1,,,,1,,1,1
Jayden Higgins,HST,WR,15,Yes,Yes,Yes,15,3,Yes,Yes,3,1,0.2,3,1,18,-2,20,,6.6667,91.7,1.2,6,-0.833,6,-0.6667,4.7233,4.7233,0.2,1.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,17,0.0667,,0.9333,3,,,,,,,,,,1,,,,,,,
Skyy Moore,SF,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,3,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.6667,,0.3333,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,1,Yes,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,4,No,Yes,No,2,1,No,Yes,1,1,0.5,,,,,,,,39.6,,,-5.289,,,1.2956,1.2956,0.25,,,,,,,,,,,,,,9,0.5,,,1,,,,1,,,0.5,1,,,,,,,,,
Tre Harris,LAC,WR,6,No,Yes,No,5,1,No,Yes,1,1,0.2,,,,,5,,5,39.6,,,-6.3628,,,1.4155,1.4155,0.1667,,,,,,,,,,,,,,17,,,1,1,,,,1,,,,1,,,,,,,,,
Luke Schoonmaker,DAL,TE,9,No,Yes,No,8,3,No,Yes,3,1,0.375,1,0.3333,14,9,10,,3.3333,49.3,1.75,4.6667,-1.4407,14,9,4.6009,4.6009,0.3333,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,17,0.5,3,,1,,,3,1,,,0.5,0.3333,1,1,,,2,,,,
Jameson Williams,DET,WR,15,Yes,No,No,14,3,No,Yes,3,1,0.2143,1,0.3333,-2,2,10,0.0714,3.3333,42.4,-0.1429,-0.6667,-6.9552,-2,2,6.0009,6.0009,0.2,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,17,0.4286,1,0.5,2,1,0.3333,1,2,,,,0.6667,1,,,,,,,,
Jahan Dotson,PHI,WR,11,No,No,No,10,1,No,No,1,1,0.1,1,1,40,5,35,,35,158.3,4,40,26.2995,40,5,2.1655,2.1655,0.0909,10,11,10.5,11,11,11,10.5,11,11,11,10.5,11,11,17,0.3,,0.7,1,,,,,,,,,,1,1,1,1,,1,1,
DeVonta Smith,PHI,WR,14,No,No,No,14,1,No,No,1,1,0.0714,1,1,9,-2,11,,11,104.2,0.6429,9,0.6848,9,-2,5.4348,5.4348,0.0714,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,0.5714,,0.4286,1,,,,,,,,,,,,1,,,,,
Theo Johnson,NYG,TE,15,No,No,No,13,5,No,Yes,5,1,0.3846,2,0.4,25,15,17,0.0769,3.4,56.3,1.9231,5,-1.2744,12.5,7.5,7.4808,7.4808,0.3333,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,15,0.3077,2,0.1538,3,,,1,3,,,0.4615,0.6,1,1,,,1,,1,,
Mitchell Evans,CAR,TE,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,1,,,,,,,,,,
Luke Musgrave,GB,TE,9,No,No,No,6,1,No,No,1,1,0.1667,,,,,-2,,-2,39.6,,,-4.8511,,,1.6469,1.6469,0.1111,,,,,,,,,,,,,,17,0.3333,,,1,1,1,,1,,,0.6667,1,1,,,,,,,,
Aaron Jones,MIN,RB,6,No,No,No,5,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
Luke Farrell,SF,TE,5,No,No,No,4,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,,,,,,,,,,0.75,,,,,,,,,,
Christian Kirk,HST,WR,9,Yes,Yes,Yes,9,2,Yes,Yes,2,1,0.2222,,,,,20,,10,39.6,,,-8.1168,,,3.0886,3.0886,0.2222,,,,,,,,,,,,,,13,1,,,1,,,,1,,,,0.5,,,,,1,,,,
Puka Nacua,LA,WR,25,No,Yes,No,25,7,No,Yes,7,1,0.28,5,0.7143,85,6,101,,14.4286,112.2,3.4,12.1429,2.705,17,1.2,10.6854,10.6854,0.28,8.5,13.5,11,13.5,13.5,13.5,11,13.5,13.5,13.5,11,13.5,13.5,16,0.4,3,0.56,7,,,0.6,,,,0.04,,,5,1,3,4,,2,,
Woody Marks,HST,RB,9,Yes,Yes,Yes,5,1,Yes,Yes,1,1,0.2,1,1,7,12,-5,0.8,-5,95.8,1.4,7,1.1289,7,12,3.0817,3.0817,0.1111,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,16,,1,0.2,,,,1,,1,1,,,,,,,,,,,
James Proche,TEN,WR,6,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,12,1,11,,11,116.7,3,12,3.6848,12,1,3.2626,3.2626,0.1667,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,9,,,1,,,,,,,,,,,1,,1,,,,,
Taysom Hill,NO,TE,2,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,
Dylan Laube,LV,RB,2,Yes,No,No,2,1,Yes,Yes,1,1,0.5,1,1,4,3,1,1,1,83.3,2,4,-1.7294,4,3,1.3504,1.3504,0.5,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,,2,,,,,2,,,,,,,,,,,,,,
Carter Runyon,LV,TE,1,Yes,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,
Malik Nabers,NYG,WR,4,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,1.7077,1.7077,,,,,,,,,,,,,,,4,0.3333,,0.6667,,,,,,,,,,,,,,,,,,
Cade Otton,TB,TE,19,No,Yes,No,16,3,No,Yes,3,1,0.1875,2,0.6667,10,5,9,,3,31.9,0.625,3.3333,-2.6119,5,2.5,4.2106,4.2106,0.1579,1,3,2,3,4,3,2,3,3,3,2,4,3,16,0.375,4,0.3125,2,,,2,,,,0.3125,,,,,,2,,1,,
DeMario Douglas,NE,WR,7,No,No,No,7,2,No,Yes,2,1,0.2857,1,0.5,8,2,12,,6,60.4,1.1429,4,-2.9491,8,2,2.9971,2.9971,0.2857,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,17,0.7143,,0.2857,2,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,3,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.6667,,0.3333,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,2,No,Yes,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,
Jimmy Horn,CAR,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,,0.6667,,,,,,,,,,,,,,,,,,
