Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
DeVonta Smith,PHI,WR,7,Yes,No,No,7,No,Yes,0.7143,0.2857,13,4,,2,0.5,1,0.5714,2,,0.5,67,107,1,1,,3,26.75,2,95.8,9.5714,16.75,6.0425,,33.5,2,6.9211,6.9211,0.5714,12.7,14.7,13.7,14.7,14.7,14.7,13.7,14.7,14.7,14.7,13.7,14.7,14.7,,7,1,3.5,0.5,,,,,
D'Ernest Johnson,JAX,RB,3,Yes,Yes,No,2,No,Yes,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Theo Johnson,NYG,TE,11,No,No,No,9,No,No,0.6667,0.1111,12,2,,2,1,,0.2222,2,,1,60,45,1,,,2,22.5,2,158.3,6.6667,30,15.7973,,30,2,4.3403,4.3403,0.1818,12,14,13,14,15,14,13,14,14,14,13,15,14,,15,3,7.5,1.5,0.2222,,,,
Shane Zylstra,DET,TE,2,No,Yes,Yes,1,No,No,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Mecole Hardman,KC,WR,1,No,No,Yes,1,No,Yes,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,2,Yes,Yes,Yes,2,No,Yes,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,6,No,No,No,3,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Luke Schoonmaker,DAL,TE,7,Yes,No,No,7,No,Yes,0.7143,0.1429,17,2,,2,1,1,0.2857,2,,1,46,43,1,1,,1,21.5,1,158.3,6.5714,23,11.1204,,23,2,4.39,4.39,0.2857,10.6,12.6,11.6,12.6,13.6,12.6,11.6,12.6,12.6,12.6,11.6,13.6,12.6,,8,8,4,4,0.1429,,,1,0.5
Chris Conley,SF,WR,7,Yes,No,No,7,No,Yes,0.1429,0.8571,15,2,,,,,0.2857,,,,,87,,,,2,43.5,2,39.6,,,-15,,,,4.9007,4.9007,0.2857,,,,,,,,,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,2,No,Yes,No,2,No,Yes,,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Jha'Quan Jackson,TEN,WR,2,No,No,No,2,Yes,Yes,0.5,0.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,22,Yes,No,No,16,No,Yes,0.0625,0.0625,16,1,,1,1,,0.0625,1,,1,24,21,,,,,21,1,118.8,1.5,24,14.6923,,24,1,1.8256,1.8256,0.0476,2.4,3.4,2.9,3.9,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,3,2,3,2,0.0625,0.8125,,,
Trent Sherfield,MIN,WR,4,No,Yes,Yes,4,No,No,0.5,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Strong,CLV,RB,7,No,No,Yes,5,No,No,0.2,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,,,
Dameon Pierce,HST,RB,6,No,Yes,No,5,No,Yes,0.2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,
Blake Corum,LA,RB,1,Yes,No,No,1,No,No,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Julian Hill,MIA,TE,5,Yes,No,No,4,No,Yes,0.5,,16,2,1,1,0.5,1,0.5,,,,,37,,,,2,18.5,1,39.6,,,-11.7215,,,,5.2508,5.2508,0.4,,,,,,,,,,,,,,2,,,,,0.5,,,,
Rakim Jarrett,TB,WR,2,No,No,No,2,No,No,,1,10,1,1,1,1,,0.5,1,1,1,19,18,,,,1,18,,118.8,9.5,19,8.1009,,19,1,1.9174,1.9174,0.5,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,1,1,1,1,,,,,
Erick All,CIN,TE,2,No,No,No,2,No,No,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Diontae Johnson,HST,WR,9,No,Yes,No,9,No,Yes,0.2222,0.7778,12,4,,3,0.75,1,0.4444,3,,0.75,63,64,1,1,,4,16,3,116.7,7,15.75,5.9453,,21,3,8.0952,8.0952,0.4444,12.3,15.3,13.8,15.3,15.3,15.3,13.8,15.3,15.3,15.3,13.8,15.3,15.3,,,,,,,,,,
Kendre Miller,NO,RB,2,No,Yes,No,2,Yes,Yes,0.5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
DK Metcalf,SEA,WR,20,Yes,No,No,20,No,No,0.05,0.95,15,9,1,5,0.5556,2,0.45,5,1,0.5556,118,223,2,2,,6,24.7778,7,100.5,5.9,13.1111,0.8497,,23.6,5,20.0233,20.0233,0.4737,23.8,28.8,26.3,28.8,28.8,31.8,29.3,28.8,28.8,28.8,26.3,28.8,28.8,1,9,10,1.8,2,,,,,
Parker Washington,JAX,WR,12,Yes,Yes,No,12,No,Yes,0.25,0.75,17,3,,3,1,,0.25,2,,0.6667,42,64,,,1,3,21.3333,1,109.7,3.5,14,3.1585,0.3333,21,2,6.5763,6.5763,0.25,4.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,,8,3,4,1.5,,,,,
Mark Andrews,BLT,TE,17,No,No,Yes,16,No,No,0.8125,0.125,17,1,,1,1,,0.0625,1,,1,23,20,,,,,20,1,118.8,1.4375,23,11.2377,,23,1,4.0168,4.0168,0.0625,2.3,3.3,2.8,3.3,3.8,3.3,2.8,3.3,3.3,3.3,2.8,3.8,3.3,,3,1,3,1,0.0625,,1,,
Allen Robinson,DET,WR,1,Yes,No,Yes,1,No,No,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SF,TE,8,Yes,No,No,5,No,Yes,0.2,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
Ray-Ray McCloud,ATL,WR,21,No,No,No,20,No,Yes,0.55,0.45,17,3,1,3,1,,0.15,2,,0.6667,40,54,,,,1,18,1,109.7,2,13.3333,2.2643,,20,2,7.297,7.297,0.1429,4,6,5,6,6,6,5,6,6,6,5,6,6,,6,3,3,1.5,,,1,,
Brian Robinson,WAS,RB,4,Yes,No,No,3,No,Yes,0.3333,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,
Alvin Kamara,NO,RB,20,Yes,No,No,15,No,No,0.4,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,
Tucker Fisk,LAC,TE,1,No,No,No,1,Yes,No,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Gus Edwards,LAC,RB,5,No,No,No,3,No,No,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Taysom Hill,NO,TE,5,No,No,No,4,No,Yes,0.75,0.25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,,,,,,,,,,
Alexander Mattison,LV,RB,8,No,No,No,7,Yes,No,0.1429,0.1429,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,,
Cade Otton,TB,TE,13,No,No,No,10,No,Yes,0.2,0.2,14,2,,1,0.5,,0.2,1,,0.5,28,49,,,,1,24.5,2,95.8,2.8,14,0.3637,,28,1,3.121,3.121,0.1538,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,,7,3,7,3,0.6,,,,
James Mitchell,DET,TE,1,Yes,No,No,1,No,Yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Sione Vaki,DET,RB,2,Yes,No,Yes,2,No,No,0.5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Raheem Blackshear,CAR,RB,1,No,No,No,1,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,11,No,No,Yes,11,No,Yes,0.5455,0.4545,17,2,,1,0.5,1,0.1818,1,,0.5,36,62,1,1,,2,31,2,95.8,3.2727,18,4.6193,,36,1,5.7258,5.7258,0.1818,9.6,10.6,10.1,10.6,10.6,10.6,10.1,10.6,10.6,10.6,10.1,10.6,10.6,,,,,,,,,,
Tank Dell,HST,WR,24,Yes,No,Yes,24,No,Yes,0.2917,0.7083,14,10,2,6,0.6,1,0.4167,3,,0.3,57,288,,,1,6,28.8,6,50.8,2.375,5.7,-6.1934,0.1,19,3,22.6464,22.6464,0.4167,5.7,8.7,7.2,8.7,8.7,8.7,7.2,8.7,8.7,8.7,7.2,8.7,8.7,1,4,,1.3333,,,,,,
Malik Nabers,NYG,WR,17,No,No,No,17,No,No,0.2353,0.7647,15,6,,1,0.1667,,0.3529,1,,0.1667,19,140,,,,6,23.3333,2,0.7,1.1176,3.1667,-8.8903,,19,1,12.2063,12.2063,0.3529,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,,,,,
Zay Flowers,BLT,WR,18,No,No,Yes,18,No,No,0.2778,0.7222,17,10,1,5,0.5,,0.5556,5,1,0.5,146,202,1,,,8,20.2,5,129.2,8.1111,14.6,4.0406,,29.2,5,19.7107,19.7107,0.5556,20.6,25.6,23.1,25.6,25.6,28.6,26.1,25.6,25.6,25.6,23.1,25.6,25.6,,48,37,9.6,7.4,,,,3,0.6
Xavier Weaver,ARZ,WR,1,Yes,No,No,1,No,Yes,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,5,No,No,No,5,Yes,No,0.6,0.4,16,3,1,2,0.6667,2,0.6,2,1,0.6667,42,68,1,1,,1,22.6667,1,149.3,8.4,14,3.4119,,21,2,7.411,7.411,0.6,10.2,12.2,11.2,12.2,12.2,12.2,11.2,12.2,12.2,12.2,11.2,12.2,12.2,1,6,3,3,1.5,,,,,
Hunter Henry,NE,TE,17,No,No,No,16,No,No,0.6875,,16,4,1,1,0.25,1,0.25,1,1,0.25,32,108,,,,4,27,3,60.4,2,8,-1.5803,,32,1,8.2941,8.2941,0.2353,3.2,4.2,3.7,4.2,4.7,4.2,3.7,4.2,4.2,4.2,3.7,4.7,4.2,1,7,7,7,7,0.3125,,1,,
Nelson Agholor,BLT,WR,10,Yes,No,No,10,No,No,0.6,0.3,14,1,,,,,0.1,,,,,21,,,,1,21,1,39.6,,,-11.2393,,,,1.2688,1.2688,0.1,,,,,,,,,,,,,,,,,,,0.1,,,,
Dalton Kincaid,BUF,TE,8,No,No,No,8,No,No,0.625,0.25,13,2,,,,,0.25,,,,,52,,,,2,26,1,39.6,,,-5.8404,,,,4.5536,4.5536,0.25,,,,,,,,,,,,,,,,,,,0.125,,,,
Jakobi Meyers,LV,WR,13,No,No,No,13,Yes,No,0.4615,0.5385,15,4,,4,1,,0.3077,4,,1,90,77,,,,4,19.25,3,118.8,6.9231,22.5,11.4348,,22.5,4,9.1619,9.1619,0.3077,9,13,11,13,13,13,11,13,13,13,11,13,13,,13,7,3.25,1.75,,,,,
Gabe Davis,JAX,WR,11,Yes,No,No,11,No,Yes,0.0909,0.9091,10,2,,2,1,,0.1818,2,,1,41,38,,,,2,19,1,118.8,3.7273,20.5,9.6179,,20.5,2,4.1319,4.1319,0.1818,4.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,1,3,,1.5,,,,,,
D.J. Turner,LV,WR,6,No,No,Yes,6,No,Yes,0.6667,0.3333,12,3,,,,,0.5,,,,,76,,,,2,25.3333,2,39.6,,,-11.3773,,,,4.9438,4.9438,0.5,,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,13,No,Yes,Yes,9,No,No,0.1111,0.2222,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,
Odell Beckham,MIA,WR,5,No,Yes,No,5,No,Yes,,1,9,1,,,,,0.2,,,,,19,,,,1,19,,39.6,,,-11.9321,,,,1.9735,1.9735,0.2,,,,,,,,,,,,,,,,,,,,,,,
Tay Martin,TEN,WR,1,No,Yes,No,1,No,Yes,,1,1,1,,1,1,,1,1,,1,49,44,1,,,1,44,1,158.3,49,49,34,,49,1,1.6227,1.6227,1,10.9,11.9,11.4,11.9,11.9,11.9,11.4,11.9,11.9,11.9,11.4,11.9,11.9,,5,,5,,,,,,
Tim Patrick,DET,WR,15,No,Yes,Yes,14,No,No,0.5,0.5,16,6,1,4,0.6667,,0.4286,3,,0.5,70,116,,,1,5,19.3333,3,52.8,5,11.6667,0.36,0.1667,23.3333,3,13.2495,13.2495,0.4,7,10,8.5,10,10,10,8.5,10,10,10,8.5,10,10,,13,10,4.3333,3.3333,,,,1,0.3333
Brian Thomas,JAX,WR,22,Yes,Yes,No,22,No,Yes,0.2273,0.7727,17,9,1,6,0.6667,,0.4091,5,1,0.5556,212,303,,,1,8,33.6667,6,60.9,9.6364,23.5556,10.8795,0.1111,42.4,5,17.9126,17.9126,0.4091,21.2,26.2,23.7,26.2,26.2,29.2,26.7,26.2,26.2,26.2,23.7,26.2,26.2,,31,20,6.2,4,,,1,,
DeAndre Hopkins,KC,WR,4,No,No,No,4,No,No,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,JAX,WR,8,Yes,Yes,No,8,No,Yes,0.375,0.625,9,3,1,2,0.6667,,0.375,1,,0.3333,49,71,,,,2,23.6667,1,81.9,6.125,16.3333,4.3935,,49,1,5.5051,5.5051,0.375,4.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,,8,3,8,3,,,,,
Noah Gray,KC,TE,9,No,No,No,8,No,No,,0.25,17,2,,2,1,,0.25,2,,1,49,34,,,,2,17,,118.8,6.125,24.5,12.8193,,24.5,2,3.7913,3.7913,0.2222,4.9,6.9,5.9,6.9,7.9,6.9,5.9,6.9,6.9,6.9,5.9,7.9,6.9,,15,2,7.5,1,0.625,0.125,,,
Simi Fehoko,LAC,WR,4,Yes,No,No,4,No,Yes,,1,8,2,1,1,0.5,1,0.5,,,,,67,,,,2,33.5,1,39.6,,,-12.4067,,,,5.7022,5.7022,0.5,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,6,No,Yes,No,6,No,Yes,0.5,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,4,Yes,No,No,3,No,Yes,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Stone Smartt,LAC,TE,2,No,No,No,2,Yes,No,0.5,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
T.J. Hockenson,MIN,TE,21,No,Yes,Yes,20,No,No,0.2,0.1,10,5,,2,0.4,1,0.25,2,,0.4,47,101,,,,3,20.2,3,74.6,2.35,9.4,-3.0311,,23.5,2,9.8977,9.8977,0.2381,4.7,6.7,5.7,6.7,7.7,6.7,5.7,6.7,6.7,6.7,5.7,7.7,6.7,1,10,5,5,2.5,0.7,,,,
Grant DuBose,MIA,WR,2,No,Yes,No,2,No,No,0.5,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,4,Yes,Yes,No,4,No,Yes,0.25,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
Tyler Goodson,IND,RB,2,Yes,Yes,No,2,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Jordan Mason,SF,RB,9,No,No,No,8,Yes,Yes,0.25,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
Tre Tucker,LV,WR,12,No,No,No,12,Yes,No,0.0833,0.9167,17,2,1,1,0.5,,0.1667,1,1,0.5,54,89,,,,1,44.5,2,95.8,4.5,27,12,,54,1,4.7263,4.7263,0.1667,5.4,6.4,5.9,6.4,6.4,6.4,5.9,6.4,6.4,6.4,5.9,6.4,6.4,,9,9,9,9,,,,,
Michael Pittman,IND,WR,23,Yes,Yes,No,23,No,Yes,0.3043,0.6957,16,5,,2,0.4,,0.2174,1,,0.2,33,102,,,1,4,20.4,3,15,1.4348,6.6,-4.3382,0.2,33,1,9.2433,9.2433,0.2273,3.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,,8,2,8,2,,,,,
Malik Washington,MIA,WR,6,Yes,No,No,5,No,Yes,0.4,0.6,14,1,1,1,1,,0.2,1,1,1,19,16,,,,1,16,,118.8,3.8,19,8.9048,,19,1,2.0296,2.0296,0.1667,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,3,1,3,1,,,,,
Jonathan Taylor,IND,RB,17,Yes,Yes,No,11,No,Yes,0.0909,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,,,
Troy Franklin,DEN,WR,13,No,No,No,13,No,No,0.2308,0.7692,16,2,,1,0.5,,0.1538,1,,0.5,26,72,,,,1,36,2,95.8,2,13,-0.462,,26,1,4.1668,4.1668,0.1667,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,,4,2,4,2,,,,,
Javon Baker,NE,WR,1,No,No,Yes,1,No,Yes,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laquon Treadwell,IND,WR,1,No,No,No,1,No,No,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Chark,LAC,WR,1,No,No,No,1,Yes,No,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,2,No,No,No,2,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Zach Ertz,WAS,TE,13,Yes,No,No,13,No,Yes,0.6923,0.0769,17,2,,,,,0.1538,,,,,50,,,,2,25,2,39.6,,,-12.4957,,,,3.3898,3.3898,0.1538,,,,,,,,,,,,,,,,,,,0.2308,,,,
Audric Estime,DEN,RB,1,No,No,No,1,No,No,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Davis Allen,LA,TE,5,Yes,No,No,5,No,No,,,14,1,,,,,0.2,,,,,15,,,,1,15,,39.6,,,-10.6391,,,,1.3127,1.3127,0.2,,,,,,,,,,,,,,,,,,,1,,,,
Terrell Jennings,NE,RB,2,No,No,Yes,2,No,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
JaMycal Hasty,NE,RB,5,No,No,No,4,No,No,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Javonte Williams,DEN,RB,19,No,No,No,14,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0714,0.9286,,,
Cam Akers,MIN,RB,10,No,Yes,Yes,8,No,No,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Greg Dortch,ARZ,WR,1,Yes,No,No,1,No,Yes,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,24,No,No,No,24,No,No,0.1667,0.8333,17,11,1,7,0.6364,,0.4583,5,,0.4545,105,251,,,1,8,22.8182,5,41.9,4.375,9.5455,-1.7459,0.0909,21,5,24.2141,24.2141,0.4583,10.5,15.5,13,15.5,15.5,18.5,16,15.5,15.5,15.5,13,15.5,15.5,,9,1,1.8,0.2,,,,,
De'Von Achane,MIA,RB,11,Yes,No,No,11,No,Yes,0.2727,0.1818,17,1,,1,1,,0.0909,1,,1,20,19,,,,,19,,118.8,1.8182,20,11.6667,,20,1,3.1824,3.1824,0.0909,2,3,2.5,3.5,3,3,2.5,3,3,3,2.5,3,3,,1,,1,,,0.5455,,,
Mike Evans,TB,WR,16,No,No,No,16,No,No,0.125,0.875,14,8,,4,0.5,1,0.5,4,,0.5,116,172,1,1,,6,21.5,4,135.4,7.25,14.5,3.2058,,29,4,13.4074,13.4074,0.5,17.6,21.6,19.6,21.6,21.6,24.6,22.6,21.6,21.6,21.6,19.6,21.6,21.6,,21,9,5.25,2.25,,,,,
River Cracraft,MIA,WR,1,Yes,No,No,1,No,Yes,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,6,Yes,No,No,6,No,Yes,,0.3333,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,
Lil'Jordan Humphrey,DEN,WR,12,No,No,No,12,No,No,0.75,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,9,No,No,Yes,9,No,Yes,0.1111,0.8889,13,2,,,,1,0.2222,,,,,81,,,,,40.5,2,,,,-13.2192,,,,2.4578,2.4578,0.2222,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,SEA,WR,24,Yes,No,No,24,No,No,0.1667,0.8333,17,3,,2,0.6667,,0.125,2,,0.6667,46,83,,,,1,27.6667,2,109.7,1.9167,15.3333,2.4702,,23,2,7.6526,7.6526,0.1304,4.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,,7,,3.5,,,,,,
Jordan Addison,MIN,WR,30,No,Yes,Yes,30,No,No,0.3,0.7,15,8,1,4,0.5,1,0.2667,4,1,0.5,136,218,1,,,8,27.25,6,135.4,4.5333,17,4.7963,,34,4,16.1931,16.1931,0.2667,19.6,23.6,21.6,23.6,23.6,26.6,24.6,23.6,23.6,23.6,21.6,23.6,23.6,,32,3,8,0.75,,,,,
Tank Bigsby,JAX,RB,9,Yes,Yes,No,7,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Mike Woods,CLV,WR,10,No,No,Yes,10,No,No,0.1,0.8,5,2,,,,,0.2,,,,,31,,,,2,15.5,,39.6,,,-9.9068,,,,3.3574,3.3574,0.2,,,,,,,,,,,,,,,,,,,0.1,,,,
Xavier Gipson,NYJ,WR,4,Yes,No,No,4,No,Yes,0.5,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,1.9627,1.9627,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson,NO,WR,4,No,No,No,4,No,No,0.5,0.5,15,1,,1,1,,0.25,1,,1,19,17,,,,1,17,,118.8,4.75,19,7.3347,,19,1,2.007,2.007,0.25,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,2,1,2,1,,,,,
Sean Tucker,TB,RB,1,No,No,No,1,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Joseph Fortson,KC,TE,1,Yes,No,No,1,No,Yes,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,10,Yes,Yes,No,4,No,Yes,0.25,,17,1,1,1,1,,0.25,1,1,1,22,17,,,,1,17,,118.8,5.5,22,10.3193,,22,1,1.962,1.962,0.1,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,,5,4,5,4,0.75,,,,
Bryce Oliver,TEN,WR,1,No,Yes,No,1,No,Yes,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,6,No,No,No,5,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Michael Mayer,LV,TE,8,No,No,No,8,Yes,No,0.25,0.25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Devin Culp,TB,TE,1,No,No,No,1,No,No,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,4,Yes,No,No,4,No,Yes,,1,17,1,,1,1,,0.25,1,,1,18,17,,,,1,17,,118.8,4.5,18,6.3347,,18,1,1.5063,1.5063,0.25,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,1,1,1,1,,,,,
