Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Ainias Smith,PHI,WR,4,Yes,Yes,No,4,1,Yes,Yes,1,1,0.25,1,1,5,,,5,0.75,0.25,1,5,,87.5,1.25,5,-1.3628,5,,,,1.3744,1.3744,0.3333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,7,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,7,Yes,No,No,7,1,No,Yes,1,1,0.1429,1,1,7,2,1,5,0.4286,0.5714,1,5,,95.8,1,7,0.6372,7,2,1,,1.3194,1.3194,0.1429,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,7,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,25,Yes,No,No,23,5,No,Yes,5,1,0.2174,5,1,56,8,3,48,0.2174,0.7826,5,9.6,,113.3,2.4348,11.2,2.9723,11.2,1.6,0.6,4,7.9446,7.9446,0.2778,5.6,10.6,8.1,10.6,10.6,10.6,8.1,10.6,10.6,10.6,8.1,10.6,10.6,17,,,,,,,,1,0.2,,,,,,
Jayden Reed,GB,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,6,Yes,Yes,No,6,3,No,No,3,1,0.5,3,1,18,17,11,1,0.1667,,1,0.3333,,91.7,3,6,0.6059,6,5.6667,3.6667,1,4.4947,4.4947,0.75,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,17,0.8333,,,,,2,0.6667,,,,,,,,
Chris Rodriguez Jr.,WAS,RB,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,14,Yes,No,No,13,6,No,Yes,6,1,0.4615,5,0.8333,111,60,9,64,0.2308,0.6923,5,10.6667,1,118.8,8.5385,18.5,9.9534,22.2,12,1.8,4,10.2851,10.2851,0.5455,11.1,16.1,13.6,16.1,16.1,19.1,16.6,16.1,16.1,16.1,13.6,16.1,16.1,17,,0.0769,,,,4,0.8,,,,,,1,0.1667,
Drake London,ATL,WR,9,Yes,Yes,No,8,1,No,No,1,1,0.125,1,1,10,4,,6,0.375,0.625,1,6,,108.3,1.25,10,3.0509,10,4,,1,1.1549,1.1549,0.1429,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,17,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,40,Yes,No,No,40,8,No,Yes,6,0.75,0.2,5,0.625,80,41,10,102,0.125,0.875,4,12.75,2,135.4,2,10,1.3501,16,8.2,2,4,17.2197,17.2197,0.2222,14,19,16.5,19,19,19,16.5,19,19,19,16.5,19,19,17,,,,,1,,,,,2,1,1,1,0.125,1
Bub Means,NO,WR,7,No,No,No,6,2,No,No,2,1,0.3333,1,0.5,10,2,,16,0.1667,0.8333,2,8,,64.6,1.6667,5,-2.5106,10,2,,1,3.259,3.259,0.4,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,7,,,1,,,,,,,,,,,,
Alec Pierce,IND,WR,17,No,Yes,Yes,16,3,No,No,3,1,0.1875,2,0.6667,21,4,2,27,0.0625,0.9375,2,9,,86.8,1.3125,7,-0.4882,10.5,2,1,1,4.429,4.429,0.2,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,16,,,,,,,,,,,,,1,0.3333,
Bo Melton,GB,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,4,Yes,No,No,2,1,Yes,Yes,1,1,0.5,1,1,7,7,6,,,,1,,,95.8,3.5,7,1.1729,7,7,6,1,1.2471,1.2471,0.5,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,4,,1,,,,1,1,,,,,,,,
Sterling Shepard,TB,WR,10,No,No,No,10,4,No,Yes,4,1,0.4,3,0.75,18,9,2,27,0.4,0.6,2,6.75,,122.9,1.8,4.5,-2.3537,6,3,0.6667,1,7.912,7.912,0.5,7.8,10.8,9.3,10.8,10.8,10.8,9.3,10.8,10.8,10.8,9.3,10.8,10.8,14,,,,,1,,,,,1,1,1,1,0.25,
Khalil Shakir,BUF,WR,7,Yes,No,No,7,,No,No,,,,,,,,,,0.4286,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Robert Woods,HST,WR,6,No,No,No,4,1,No,No,1,1,0.25,1,1,4,2,,2,0.25,0.75,,2,,83.3,1,4,-1.3344,4,2,,,2.3039,2.3039,0.1667,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,15,,,,,,,,,,1,,,,,
Jaxon Smith-Njigba,SEA,WR,19,No,No,Yes,16,1,No,No,1,1,0.0625,1,1,3,,,3,0.625,0.375,1,3,,79.2,0.1875,3,-2.4499,3,,,1,2.8077,2.8077,0.0556,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,3.05,3.05,17,,,,,,,,,,,,,,,
Jalen Moreno-Cropper,DAL,WR,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,33,Yes,Yes,No,27,9,No,No,9,1,0.3333,8,0.8889,106,38,16,78,,0.037,7,8.6667,2,155.3,3.9259,11.7778,4.9282,13.25,4.75,2,6,16.356,16.356,0.36,22.6,30.6,26.6,30.6,34.6,33.6,29.6,30.6,30.6,30.6,26.6,34.6,30.6,16,0.963,,,,2,,,,,4,2,2,1,0.1111,
Parker Hesse,DET,TE,2,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,21,No,No,Yes,21,7,No,Yes,6,0.8571,0.3333,4,0.5714,82,20,11,141,0.0476,0.9524,3,20.1429,2,138.1,3.9048,11.7143,1.2788,20.5,5,2.75,3,14.6696,14.6696,0.3684,14.2,18.2,16.2,18.2,18.2,18.2,16.2,18.2,18.2,18.2,16.2,18.2,18.2,17,,,,,1,2,0.5,,,1,1,,2,0.2857,
Grant Calcaterra,PHI,TE,17,Yes,Yes,No,14,5,Yes,Yes,4,0.8,0.3571,3,0.6,51,48,6,11,0.0714,0.0714,4,2.2,,94.6,3.6429,10.2,4.0205,17,16,2,2,8.2643,8.2643,0.3333,5.1,8.1,6.6,8.1,9.6,8.1,6.6,8.1,8.1,8.1,6.6,9.6,8.1,17,0.8571,,1,,,1,0.3333,,,1,,,,,
Josh Jacobs,GB,RB,8,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Cade Stover,HST,TE,14,No,No,No,11,1,No,No,1,1,0.0909,1,1,5,2,1,3,0.0909,,,3,,87.5,0.4545,5,-1.3218,5,2,1,,1.392,1.392,0.0909,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,15,0.7273,0.1818,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,7,Yes,Yes,Yes,7,,Yes,Yes,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Scott Miller,PIT,WR,7,No,No,No,7,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,7,No,No,No,7,1,No,No,1,1,0.1429,1,1,6,2,1,4,,0.8571,1,4,,91.7,0.8571,6,-0.0498,6,2,1,,1.3155,1.3155,0.1667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,12,0.1429,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,9,Yes,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
George Pickens,PIT,WR,17,No,No,No,16,2,No,No,1,0.5,0.125,,,,,,28,0.0625,0.9375,2,14,,39.6,,,-9.8134,,,,,5.434,5.434,0.1667,,,,,,,,,,,,,,14,,,,,,,,,,,,,1,0.5,
Pharaoh Brown,SEA,TE,9,No,No,Yes,6,,No,No,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8333,,,,,,,,,,,,,,
Rico Dowdle,DAL,RB,34,Yes,No,No,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Chris Olave,NO,WR,15,Yes,No,No,14,1,Yes,Yes,,,0.0714,,,,,,5,0.2857,0.7143,1,5,,39.6,,,-6.3628,,,,,3.65,3.65,0.0909,,,,,,,,,,,,,,8,,,,,,,,,,1,1,,,,
Ricky Pearsall,SF,WR,7,Yes,No,Yes,5,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,7,Yes,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,19,Yes,Yes,No,18,3,Yes,Yes,2,0.6667,0.1667,2,0.6667,12,13,3,1,0.7778,0.2222,1,0.3333,,74.3,0.6667,4,-1.3182,6,6.5,1.5,1,9.3088,9.3088,0.1765,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,17,,,,,,,,,,1,,,,,
Zach Davidson,BUF,TE,3,Yes,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,10,Yes,No,No,10,1,No,Yes,1,1,0.1,1,1,10,2,1,8,0.2,0.8,1,8,,108.3,1,10,2.4894,10,2,1,1,1.7708,1.7708,0.125,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,11,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,2,No,No,No,2,,No,No,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
D'Onta Foreman,CLV,RB,6,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,
Deebo Samuel,SF,WR,13,Yes,No,No,12,3,No,Yes,2,0.6667,0.25,2,0.6667,15,9,1,30,0.3333,0.6667,3,10,1,78.5,1.25,5,-2.7124,7.5,4.5,0.5,1,4.9884,4.9884,0.3333,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,15,,,,,,,,,,,,,,,
Devin Duvernay,JAX,WR,3,No,Yes,Yes,3,1,No,No,1,1,0.3333,1,1,28,34,5,-6,0.3333,0.6667,1,-6,,118.8,9.3333,28,24.2581,28,34,5,1,1.2643,1.2643,0.3333,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,13,,,,,,,,1,1,,,,,,
Clyde Edwards-Helaire,NO,RB,1,No,No,No,1,1,No,Yes,1,1,1,1,1,14,13,1,1,,,1,1,,118.8,14,14,8.2706,14,13,1,1,1.4766,1.4766,1,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2,,1,,,,,,,,,,,,,
Hayden Hurst,LAC,TE,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,0.5,,,,,,,,,,,,,
Travis Kelce,KC,TE,38,No,No,No,24,8,No,Yes,8,1,0.3333,7,0.875,64,25,5,38,0.25,0.25,5,4.75,,100,2.6667,8,1.3005,9.1429,3.5714,0.7143,6,13.7473,13.7473,0.2424,6.4,13.4,9.9,13.4,16.9,13.4,9.9,13.4,13.4,13.4,9.9,16.9,13.4,16,0.4167,0.0833,,,,,,1,0.125,3,,,1,0.125,
Cole Kmet,CHI,TE,30,Yes,No,No,22,4,No,Yes,2,0.5,0.1818,2,0.5,19,18,10,19,,,3,4.75,,63.5,0.8636,4.75,-2.3801,9.5,9,5,1,5.9078,5.9078,0.2105,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,17,0.9545,0.0455,,,,,,,,,,,,,
Demarcus Robinson,LA,WR,28,No,No,Yes,28,5,No,No,5,1,0.1786,3,0.6,6,,,55,0.0714,0.9286,4,11,1,104.2,0.2143,1.2,-6.776,2,,,3,18.6502,18.6502,0.1923,18.6,21.6,20.1,21.6,21.6,21.6,20.1,21.6,21.6,21.6,20.1,21.6,21.6,17,,,1,,3,,,,,3,3,3,,,
Tyreek Hill,MIA,WR,7,Yes,Yes,Yes,7,1,Yes,Yes,1,1,0.1429,1,1,4,8,4,-4,0.4286,0.5714,1,-4,,83.3,0.5714,4,-0.4851,4,8,4,,1.6139,1.6139,0.1667,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,,,,,,,,1,1,,,,,,
Zack Moss,CIN,RB,3,Yes,No,No,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,0.5,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,11,Yes,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,,,,,,
Brenton Strange,JAX,TE,12,No,Yes,Yes,7,2,No,No,1,0.5,0.2857,1,0.5,23,22,4,9,0.1429,,1,4.5,,91.7,3.2857,11.5,4.752,23,22,4,1,3.0073,3.0073,0.2222,2.3,3.3,2.8,3.3,3.8,3.3,2.8,3.3,3.3,3.3,2.8,3.8,3.3,17,0.8571,,,,,1,1,,,,,,,,
Mike Williams,PIT,WR,7,No,No,No,7,,No,No,,,,,,,,,,0.2857,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
Devin Thompkins,CAR,WR,4,Yes,No,No,4,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Kylen Granson,IND,TE,6,No,Yes,Yes,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,3,Yes,No,No,1,1,No,Yes,1,1,1,,,,,,-1,,,1,-1,,39.6,,,-5.819,,,,,1.4407,1.4407,0.3333,,,,,,,,,,,,,,10,,1,,,,,,,,,,,1,1,
Mason Tipton,NO,WR,12,Yes,No,No,12,1,No,No,1,1,0.0833,1,1,8,4,1,4,0.0833,0.8333,1,4,,100,0.6667,8,1.9502,8,4,1,,1.5114,1.5114,0.1111,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,11,,0.0833,,,,,,,,,,,,,
Terrace Marshall,LV,WR,4,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,28,3,3,25,,1,1,25,1,118.8,7,28,16.5113,28,3,3,1,1.9113,1.9113,0.3333,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,7,,,,,,,,,,,,,,,
David Njoku,CLV,TE,4,No,Yes,No,4,4,No,No,3,0.75,1,3,0.75,8,8,3,7,,,2,1.75,,77.1,2,2,-3.9545,2.6667,2.6667,1,,7.339,7.339,1,0.8,3.8,2.3,3.8,5.3,3.8,2.3,3.8,3.8,3.8,2.3,5.3,3.8,11,1,,,,,,,,,,,,,,
Brock Bowers,LV,TE,25,Yes,No,No,23,9,No,Yes,9,1,0.3913,9,1,75,41,11,34,0.1739,0.1304,8,3.7778,,101.4,3.2609,8.3333,1.9602,8.3333,4.5556,1.2222,3,16.2997,16.2997,0.45,7.5,16.5,12,16.5,21,16.5,12,16.5,16.5,16.5,12,21,16.5,17,0.6957,,1,1,,,,,,2,,,,,
Jalin Hyatt,NYG,WR,12,Yes,Yes,No,12,1,Yes,Yes,1,1,0.0833,1,1,1,2,1,-1,0.0833,0.9167,1,-1,,79.2,0.0833,1,-5.1699,1,2,1,,1.3579,1.3579,0.125,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,16,,,,,,,,,,,,,,,
Isaac Guerendo,SF,RB,6,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Brock Wright,DET,TE,25,Yes,Yes,No,20,5,No,No,5,1,0.25,5,1,36,32,9,4,0.05,0.05,5,0.8,,96.7,1.8,7.2,1.5657,7.2,6.4,1.8,2,7.0247,7.0247,0.2778,3.6,8.6,6.1,8.6,11.1,8.6,6.1,8.6,8.6,8.6,6.1,11.1,8.6,17,0.85,0.05,,,,,,,,1,,,,,
Kenny Yeboah,NYJ,TE,6,Yes,Yes,Yes,6,3,Yes,Yes,2,0.6667,0.5,1,0.3333,12,10,,26,,,2,8.6667,,46.5,2,4,-4.1401,12,10,,1,4.8543,4.8543,0.6,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,9,1,,1,,,,,,,,,,,,
A.J. Brown,PHI,WR,14,Yes,Yes,No,14,1,No,Yes,1,1,0.0714,,,,,,4,0.3571,0.6429,1,4,,39.6,,,-6.0498,,,,,1.361,1.361,0.0909,,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,
Jamaal Williams,NO,RB,7,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,
Luke McCaffrey,WAS,WR,5,Yes,No,No,4,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Brandin Cooks,DAL,WR,22,Yes,No,No,21,5,No,Yes,3,0.6,0.2381,3,0.6,20,3,,50,0.2381,0.7619,3,10,1,68.8,0.9524,4,-3.7579,6.6667,1,,2,9.1601,9.1601,0.25,2,5,3.5,5,5,5,3.5,5,5,5,3.5,5,5,10,,,,,,,,,,,,,,,
Rashid Shaheed,NO,WR,14,No,Yes,No,14,2,No,Yes,2,1,0.1429,2,1,19,15,,4,0.3571,0.6429,2,2,,106.3,1.3571,9.5,3.2759,9.5,7.5,,2,2.7416,2.7416,0.1818,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,6,,,,,,,,1,0.5,,,,,,
Justin Jefferson,MIN,WR,29,Yes,Yes,No,28,5,No,No,3,0.6,0.1786,3,0.6,21,9,,37,0.0714,0.9286,3,7.4,,69.6,0.75,4.2,-3.2609,7,3,,,7.7457,7.2122,0.2083,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,17,,,1,1,,,,,,,,,,,
Ryan Miller,TB,WR,6,No,No,No,6,2,No,Yes,1,0.5,0.3333,1,0.5,1,,,20,0.5,0.5,2,10,,95.8,0.1667,0.5,-7.7784,1,,,1,5.7413,5.7413,0.4,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,11,,,,,1,,,,,2,1,1,,,
Greg Dulcich,NYG,TE,6,Yes,Yes,No,2,1,Yes,Yes,,,0.5,,,,,,,0.5,,1,,,39.6,,,-5.289,,,,,1.3973,1.3973,0.1667,,,,,,,,,,,,,,9,0.5,,,,,,,,,,,,,,
Craig Reynolds,DET,RB,6,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,12,Yes,Yes,No,10,,No,No,,,,,,,,,,0.2,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,17,0.8,,,,,,,,,,,,,,
Durham Smythe,MIA,TE,2,Yes,Yes,Yes,1,1,Yes,Yes,1,1,1,1,1,3,3,1,,,,1,,,79.2,3,3,-2.289,3,3,1,,1.3882,1.3882,0.5,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,,1,,,,,,,,,,,,,
Xavier Legette,CAR,WR,21,Yes,Yes,No,20,5,No,No,4,0.8,0.25,2,0.4,15,,,39,0.2,0.8,5,7.8,1,8.3,0.75,3,-4.3984,7.5,,,1,6.6123,6.6123,0.2941,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,16,,,1,,,1,0.5,1,0.2,,,,1,0.2,
Alex Bachman,LV,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Brandon Johnson,PIT,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,8,Yes,Yes,No,6,4,No,Yes,4,1,0.6667,4,1,28,20,8,8,,,4,2,,135.4,4.6667,7,0.704,7,5,2,3,9.8536,9.8536,0.5714,14.8,18.8,16.8,20.8,18.8,18.8,16.8,18.8,18.8,18.8,16.8,18.8,18.8,17,,1,1,1,2,,,,,2,1,1,,,
DeeJay Dallas,ARZ,RB,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,17,No,No,No,5,,No,No,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,0.8,,,,,,,,,,,,,
Romeo Doubs,GB,WR,9,Yes,No,No,7,2,No,Yes,1,0.5,0.2857,1,0.5,15,3,2,33,0.1429,0.8571,2,16.5,1,75,2.1429,7.5,-2.6427,15,3,2,1,3.2773,3.2773,0.2222,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,13,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,11,Yes,No,No,7,2,No,Yes,1,0.5,0.2857,1,0.5,7,12,1,4,,1,2,2,,97.9,1,3.5,-2.3067,7,12,1,1,3.5993,3.5993,0.2222,6.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,14,,,,,1,,,,,1,,,,,
Ladd McConkey,LAC,WR,10,Yes,No,No,10,5,No,Yes,4,0.8,0.5,4,0.8,16,19,3,6,0.4,0.5,5,1.2,,80,1.6,3.2,-2.6656,4,4.75,0.75,,8.1546,8.1546,0.625,1.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,16,0.1,,1,,,,,1,0.2,,,,,,
Lucas Krull,DEN,TE,7,Yes,No,No,7,,No,Yes,,,,,,,,,,0.1429,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5714,,,,,,,,,,,,,,
Tyler Johnson,LA,WR,3,No,No,Yes,3,1,No,No,1,1,0.3333,1,1,4,,,12,,1,,12,,122.9,1.3333,4,-5.0461,4,,,1,5.7697,5.7697,0.3333,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,15,,,1,1,1,,,,,1,1,1,,,
Chig Okonkwo,TEN,TE,13,No,No,No,9,4,No,No,4,1,0.4444,4,1,47,16,3,31,0.1111,,4,7.75,,115.6,5.2222,11.75,4.0544,11.75,4,0.75,2,7.5192,7.5192,0.4,4.7,8.7,6.7,8.7,10.7,8.7,6.7,8.7,8.7,8.7,6.7,10.7,8.7,17,0.7778,0.1111,,,,,,,,1,,,,,
Gerald Everett,CHI,TE,14,Yes,No,No,9,1,No,Yes,1,1,0.1111,1,1,3,2,1,1,,0.1111,1,1,,79.2,0.3333,3,-2.7754,3,2,1,,1.3504,1.3504,0.1,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,0.8889,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,9,Yes,No,Yes,9,,Yes,Yes,,,,,,,,,,0.1111,0.8889,,,,,,,,,,,,1.6118,1.6118,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
James Cook,BUF,RB,17,Yes,Yes,No,12,3,No,Yes,3,1,0.25,3,1,14,24,3,-10,,,2,-3.3333,,86.1,1.1667,4.6667,-0.8486,4.6667,8,1,2,4.9514,4.9514,0.2727,1.4,4.4,2.9,5.9,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,16,,1,,,,,,1,0.3333,,,,,,
Jared Wiley,KC,TE,3,No,No,Yes,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,,,,,,,,
